so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,no2Flag,dataTime,coGrade,no2Value,pm10Grade,o3Value,khaiGrade,no2Grade
1,-,0.002,0.6,4,2,통신장애,2024-04-23 11:00,1,-,1,0.033,,
1,-,0.002,0.6,7,1,통신장애,2024-04-23 10:00,1,-,2,0.029,,
1,-,0.002,0.6,30,1,통신장애,2024-04-23 09:00,1,-,2,0.025,,
1,-,0.002,0.7,57,1,통신장애,2024-04-23 08:00,1,-,2,0.008,,
1,72,0.002,0.6,43,1,,2024-04-23 07:00,1,0.011,2,0.004,2,1
1,-,0.002,0.6,40,1,통신장애,2024-04-23 06:00,1,-,2,0.006,,
1,-,0.002,0.6,38,1,통신장애,2024-04-23 05:00,1,-,2,0.007,,
1,-,0.002,0.6,38,1,통신장애,2024-04-23 04:00,1,-,2,0.008,,
1,-,0.002,0.6,38,1,통신장애,2024-04-23 03:00,1,-,2,0.008,,
1,-,0.002,0.6,30,1,통신장애,2024-04-23 02:00,1,-,2,0.009,,
1,-,0.002,0.6,36,1,통신장애,2024-04-23 01:00,1,-,2,0.005,,
1,-,0.002,0.6,45,1,통신장애,2024-04-22 24:00,1,-,2,0.009,,
1,-,0.002,0.6,46,1,통신장애,2024-04-22 23:00,1,-,2,0.011,,
1,-,0.002,0.6,40,1,통신장애,2024-04-22 22:00,1,-,1,0.013,,
1,-,0.002,0.6,29,1,통신장애,2024-04-22 21:00,1,-,1,0.015,,
1,-,0.002,0.6,25,1,통신장애,2024-04-22 20:00,1,-,1,0.028,,
1,-,0.002,0.6,28,2,통신장애,2024-04-22 19:00,1,-,1,0.037,,
1,-,0.002,0.6,27,2,통신장애,2024-04-22 18:00,1,-,1,0.036,,
1,-,0.002,0.6,25,2,통신장애,2024-04-22 17:00,1,-,1,0.034,,
1,-,0.002,0.6,22,1,통신장애,2024-04-22 16:00,1,-,1,0.027,,
1,-,0.002,0.6,23,2,통신장애,2024-04-22 15:00,1,-,2,0.033,,
1,-,0.002,0.6,24,2,통신장애,2024-04-22 14:00,1,-,2,0.039,,
