so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,61,0.002,0.4,25,2,2,1,2024-04-23 11:00,1,0.025,1,0.043
1,57,0.002,0.5,25,2,2,2,2024-04-23 10:00,1,0.032,1,0.038
1,58,0.002,0.7,25,2,2,2,2024-04-23 09:00,1,0.035,1,0.034
1,53,0.002,0.5,24,2,2,2,2024-04-23 08:00,1,0.032,1,0.034
1,59,0.002,0.4,26,1,2,2,2024-04-23 07:00,1,0.036,1,0.030
1,56,0.002,0.4,22,2,2,1,2024-04-23 06:00,1,0.029,1,0.037
1,64,0.002,0.4,19,2,2,1,2024-04-23 05:00,1,0.018,1,0.047
1,69,0.002,0.3,20,2,2,1,2024-04-23 04:00,1,0.012,1,0.053
1,70,0.002,0.3,22,2,2,1,2024-04-23 03:00,1,0.010,1,0.054
1,68,0.002,0.3,22,2,2,1,2024-04-23 02:00,1,0.011,1,0.052
1,68,0.002,0.4,24,2,2,1,2024-04-23 01:00,1,0.011,1,0.051
1,66,0.003,0.4,27,2,2,1,2024-04-22 24:00,1,0.013,1,0.049
1,61,0.002,0.3,27,2,2,1,2024-04-22 23:00,1,0.020,1,0.043
1,61,0.002,0.4,29,2,2,1,2024-04-22 22:00,1,0.020,2,0.043
1,58,0.002,0.4,30,2,2,1,2024-04-22 21:00,1,0.025,2,0.040
1,57,0.003,0.5,30,2,2,1,2024-04-22 20:00,1,0.030,2,0.038
1,61,0.002,0.4,34,2,2,1,2024-04-22 19:00,1,0.029,2,0.043
1,61,0.003,0.3,34,2,2,2,2024-04-22 18:00,1,0.037,2,0.042
1,63,0.003,0.7,29,2,2,2,2024-04-22 17:00,1,0.031,2,0.045
1,68,0.003,0.4,32,2,2,1,2024-04-22 16:00,1,0.020,2,0.052
1,66,0.002,0.4,33,2,2,1,2024-04-22 15:00,1,0.023,2,0.049
1,63,0.003,0.4,32,2,2,1,2024-04-22 14:00,1,0.024,2,0.046
