so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,70,0.002,0.3,25,2,2,1,2024-04-23 11:00,1,0.012,1,0.054
1,66,0.002,0.3,22,2,2,1,2024-04-23 10:00,1,0.014,2,0.049
1,62,0.002,0.3,31,2,2,1,2024-04-23 09:00,1,0.017,2,0.044
1,58,0.002,0.3,21,2,2,1,2024-04-23 08:00,1,0.020,2,0.040
1,58,0.002,0.3,31,1,2,2,2024-04-23 07:00,1,0.035,2,0.022
1,56,0.002,0.3,25,1,2,1,2024-04-23 06:00,1,0.028,2,0.025
1,64,0.002,0.3,20,2,2,1,2024-04-23 05:00,1,0.017,2,0.035
1,72,0.002,0.3,26,2,2,1,2024-04-23 04:00,1,0.015,2,0.035
1,77,0.002,0.3,28,2,2,1,2024-04-23 03:00,1,0.018,2,0.032
1,79,0.003,0.4,47,2,2,1,2024-04-23 02:00,1,0.023,2,0.032
1,77,0.003,0.4,55,2,2,1,2024-04-23 01:00,1,0.025,2,0.039
1,72,0.003,0.5,66,2,2,2,2024-04-22 24:00,1,0.039,2,0.032
1,81,0.002,0.4,56,2,2,1,2024-04-22 23:00,1,0.021,2,0.067
1,78,0.003,0.4,51,2,2,1,2024-04-22 22:00,1,0.025,2,0.063
1,70,0.003,0.4,50,2,2,2,2024-04-22 21:00,1,0.034,2,0.054
1,78,0.003,0.4,45,2,2,1,2024-04-22 20:00,1,0.026,2,0.064
1,85,0.003,0.3,40,2,2,1,2024-04-22 19:00,1,0.021,2,0.072
1,82,0.002,0.3,45,2,2,1,2024-04-22 18:00,1,0.023,2,0.068
1,74,0.003,0.3,57,2,2,1,2024-04-22 17:00,1,0.030,2,0.059
1,78,0.002,0.3,33,2,2,1,2024-04-22 16:00,1,0.020,2,0.063
1,81,0.002,0.3,31,2,2,1,2024-04-22 15:00,1,0.010,2,0.067
1,78,0.002,0.3,28,2,2,1,2024-04-22 14:00,1,0.010,2,0.063
