so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,66,0.004,0.5,25,2,2,1,2024-04-23 12:00,1,0.015,1,0.049
1,63,0.004,0.4,23,2,2,1,2024-04-23 11:00,1,0.016,1,0.045
1,59,0.003,0.4,25,2,2,1,2024-04-23 10:00,1,0.023,1,0.041
1,57,0.003,0.4,26,2,2,1,2024-04-23 09:00,1,0.023,1,0.038
1,53,0.003,0.4,22,2,2,1,2024-04-23 08:00,1,0.028,1,0.033
1,52,0.003,0.4,18,2,2,2,2024-04-23 07:00,1,0.031,1,0.032
1,59,0.003,0.3,17,2,2,1,2024-04-23 06:00,1,0.019,1,0.041
1,63,0.003,0.3,19,2,2,1,2024-04-23 05:00,1,0.012,1,0.046
1,67,0.003,0.3,17,2,2,1,2024-04-23 04:00,1,0.008,1,0.050
1,66,0.003,0.3,19,2,2,1,2024-04-23 03:00,1,0.009,1,0.049
1,64,0.003,0.3,21,2,2,1,2024-04-23 02:00,1,0.009,1,0.047
1,60,0.003,0.4,20,2,2,1,2024-04-23 01:00,1,0.015,1,0.042
1,60,0.003,0.4,24,2,2,1,2024-04-22 24:00,1,0.013,1,0.042
1,57,0.003,0.4,26,2,2,1,2024-04-22 23:00,1,0.019,1,0.038
1,57,0.003,0.5,29,2,2,1,2024-04-22 22:00,1,0.019,1,0.038
1,54,0.003,0.5,30,2,2,1,2024-04-22 21:00,1,0.025,2,0.035
1,53,0.003,0.6,30,2,2,1,2024-04-22 20:00,1,0.029,2,0.033
1,58,0.003,0.4,33,2,2,1,2024-04-22 19:00,1,0.028,2,0.040
1,65,0.003,0.5,30,2,2,1,2024-04-22 18:00,1,0.020,2,0.048
1,67,0.003,0.5,27,2,2,1,2024-04-22 17:00,1,0.019,2,0.050
1,68,0.003,0.5,28,2,2,1,2024-04-22 16:00,1,0.016,2,0.052
1,66,0.004,0.4,32,2,2,1,2024-04-22 15:00,1,0.022,2,0.049
1,64,0.003,0.4,31,2,2,1,2024-04-22 14:00,1,0.018,2,0.047
