so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value,coFlag,pm10Flag,no2Flag,o3Flag,so2Flag
1,63,0.002,0.4,27,2,2,1,2024-04-23 10:00,1,0.016,1,0.046,,,,,
1,64,0.002,0.4,22,2,2,1,2024-04-23 09:00,1,0.014,1,0.047,,,,,
1,65,0.003,0.3,18,2,2,1,2024-04-23 08:00,1,0.014,1,0.048,,,,,
1,65,0.002,0.3,16,2,2,1,2024-04-23 07:00,1,0.013,1,0.048,,,,,
1,64,0.002,0.3,24,2,2,1,2024-04-23 06:00,1,0.011,2,0.046,,,,,
1,72,0.002,0.3,17,2,2,1,2024-04-23 05:00,1,0.009,2,0.044,,,,,
1,77,0.003,0.3,19,2,2,1,2024-04-23 04:00,1,0.010,2,0.042,,,,,
1,82,0.003,0.3,26,2,2,1,2024-04-23 03:00,1,0.013,2,0.038,,,,,
1,85,0.003,0.4,44,2,2,1,2024-04-23 02:00,1,0.019,2,0.039,,,,,
1,82,0.003,0.4,52,2,2,1,2024-04-23 01:00,1,0.024,2,0.050,,,,,
1,79,0.003,0.4,55,2,2,1,2024-04-22 24:00,1,0.027,2,0.053,,,,,
1,77,0.003,0.5,54,2,2,2,2024-04-22 23:00,1,0.035,2,0.041,,,,,
1,74,0.003,0.5,51,2,2,2,2024-04-22 22:00,1,0.034,2,0.050,,,,,
1,69,0.004,0.5,47,2,2,2,2024-04-22 21:00,1,0.037,2,0.049,,,,,
1,73,0.003,0.4,40,2,2,2,2024-04-22 20:00,1,0.031,2,0.057,,,,,
1,-,0.003,0.4,45,2,,2,2024-04-22 19:00,1,0.031,,0.061,,,,,
1,-,0.003,0.4,37,2,,1,2024-04-22 18:00,1,0.024,,0.064,,,,,
,-,-,-,-,,,,2024-04-22 17:00,,-,,-,통신장애,통신장애,통신장애,통신장애,통신장애
,-,-,-,-,,,,2024-04-22 16:00,,-,2,-,통신장애,통신장애,통신장애,통신장애,통신장애
1,82,0.002,0.3,33,2,2,1,2024-04-22 15:00,1,0.011,2,0.068,,,,,
1,77,0.003,0.3,30,2,2,1,2024-04-22 14:00,1,0.011,2,0.062,,,,,
1,71,0.002,0.3,39,2,2,1,2024-04-22 13:00,1,0.013,2,0.055,,,,,
1,69,0.002,0.4,32,2,2,1,2024-04-22 12:00,1,0.012,2,0.053,,,,,
