so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value,khaiGrade
1,-,0.003,0.2,22,2,1,2024-04-23 11:00,1,0.007,1,0.052,
1,-,0.003,0.2,24,2,1,2024-04-23 10:00,1,0.007,1,0.049,
1,-,0.003,0.2,21,2,1,2024-04-23 09:00,1,0.010,1,0.045,
1,-,0.003,0.3,20,2,1,2024-04-23 08:00,1,0.012,1,0.040,
1,-,0.003,0.3,19,2,1,2024-04-23 07:00,1,0.012,1,0.033,
1,-,0.003,0.3,16,2,1,2024-04-23 06:00,1,0.010,1,0.033,
1,-,0.003,0.2,14,2,1,2024-04-23 05:00,1,0.006,1,0.045,
1,-,0.003,0.2,18,2,1,2024-04-23 04:00,1,0.005,1,0.045,
1,-,0.003,0.2,16,2,1,2024-04-23 03:00,1,0.005,1,0.045,
1,64,0.003,0.2,19,2,1,2024-04-23 02:00,1,0.005,1,0.046,2
1,66,0.003,0.2,21,2,1,2024-04-23 01:00,1,0.006,1,0.044,2
1,69,0.003,0.2,29,2,1,2024-04-22 24:00,1,0.007,2,0.042,2
1,69,0.003,0.2,27,2,1,2024-04-22 23:00,1,0.008,2,0.036,2
1,72,0.003,0.3,38,2,1,2024-04-22 22:00,1,0.013,2,0.043,2
1,69,0.003,0.3,42,2,1,2024-04-22 21:00,1,0.021,1,0.050,2
1,70,0.003,0.2,26,2,1,2024-04-22 20:00,1,0.010,1,0.054,2
1,74,0.003,0.2,25,2,1,2024-04-22 19:00,1,0.007,1,0.059,2
1,76,0.003,0.2,23,2,1,2024-04-22 18:00,1,0.006,1,0.061,2
1,76,0.003,0.2,27,2,1,2024-04-22 17:00,1,0.005,1,0.061,2
1,76,0.003,0.2,28,2,1,2024-04-22 16:00,1,0.005,1,0.061,2
1,75,0.003,0.2,27,2,1,2024-04-22 15:00,1,0.006,1,0.060,2
1,73,0.003,0.2,27,2,1,2024-04-22 14:00,1,0.005,1,0.058,2
