so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,66,0.001,0.3,25,2,2,1,2024-04-23 11:00,1,0.009,1,0.049
1,63,0.001,0.3,17,2,2,1,2024-04-23 10:00,1,0.010,1,0.046
1,63,0.001,0.3,21,2,2,1,2024-04-23 09:00,1,0.010,1,0.046
1,63,0.001,0.3,21,2,2,1,2024-04-23 08:00,1,0.011,1,0.046
1,63,0.001,0.3,18,2,2,1,2024-04-23 07:00,1,0.010,1,0.045
1,64,0.001,0.3,13,2,2,1,2024-04-23 06:00,1,0.006,1,0.047
1,64,0.001,0.3,17,2,2,1,2024-04-23 05:00,1,0.005,1,0.047
1,63,0.001,0.3,20,2,2,1,2024-04-23 04:00,1,0.006,1,0.046
1,61,0.001,0.3,16,2,2,1,2024-04-23 03:00,1,0.007,2,0.043
1,60,0.001,0.3,24,2,2,1,2024-04-23 02:00,1,0.009,2,0.042
1,60,0.001,0.4,33,2,2,1,2024-04-23 01:00,1,0.017,2,0.038
1,61,0.001,0.4,58,2,2,2,2024-04-22 24:00,1,0.033,2,0.032
1,61,0.001,0.4,38,2,2,1,2024-04-22 23:00,1,0.021,2,0.038
1,64,0.001,0.4,39,2,2,1,2024-04-22 22:00,1,0.024,2,0.047
1,71,0.002,0.4,43,2,2,1,2024-04-22 21:00,1,0.025,2,0.055
1,66,0.002,0.4,52,2,2,2,2024-04-22 20:00,1,0.031,2,0.049
1,74,0.001,0.3,31,2,2,1,2024-04-22 19:00,1,0.017,2,0.059
1,76,0.001,0.3,29,2,2,1,2024-04-22 18:00,1,0.009,2,0.061
1,78,0.001,0.3,33,2,2,1,2024-04-22 17:00,1,0.008,1,0.064
1,78,0.001,0.3,31,2,2,1,2024-04-22 16:00,1,0.009,1,0.063
1,78,0.001,0.3,32,2,2,1,2024-04-22 15:00,1,0.008,1,0.063
1,74,0.001,0.3,26,2,2,1,2024-04-22 14:00,1,0.008,1,0.059
1,68,0.001,0.3,27,2,2,1,2024-04-22 13:00,1,0.010,1,0.052
