so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value,coFlag,pm10Flag,no2Flag,o3Flag,so2Flag
1,57,0.003,0.3,15,2,2,1,2024-04-23 10:00,1,0.016,1,0.038,,,,,
1,53,0.002,0.3,19,2,2,1,2024-04-23 09:00,1,0.022,1,0.034,,,,,
1,55,0.003,0.3,14,2,2,1,2024-04-23 08:00,1,0.019,1,0.036,,,,,
1,58,0.003,0.3,15,2,2,1,2024-04-23 07:00,1,0.016,1,0.039,,,,,
1,58,0.002,0.3,15,2,2,1,2024-04-23 06:00,1,0.012,1,0.040,,,,,
1,58,0.002,0.3,15,2,2,1,2024-04-23 05:00,1,0.013,1,0.039,,,,,
1,61,0.002,0.2,15,2,2,1,2024-04-23 04:00,1,0.008,1,0.043,,,,,
1,61,0.002,0.3,15,2,2,1,2024-04-23 03:00,1,0.008,1,0.043,,,,,
1,59,0.002,0.3,16,2,2,1,2024-04-23 02:00,1,0.008,1,0.041,,,,,
1,58,0.003,0.3,20,2,2,1,2024-04-23 01:00,1,0.009,1,0.040,,,,,
1,59,0.003,0.3,20,2,2,1,2024-04-22 24:00,1,0.013,1,0.037,,,,,
1,61,0.003,0.3,24,2,2,1,2024-04-22 23:00,1,0.013,1,0.037,,,,,
1,61,0.002,0.3,25,2,2,1,2024-04-22 22:00,1,0.014,1,0.037,,,,,
1,61,0.003,0.4,31,2,2,1,2024-04-22 21:00,1,0.022,1,0.032,,,,,
1,59,0.003,0.4,32,2,2,1,2024-04-22 20:00,1,0.025,1,0.033,,,,,
1,58,0.003,0.4,27,2,2,1,2024-04-22 19:00,1,0.020,1,0.039,,,,,
1,59,0.003,0.3,21,2,2,1,2024-04-22 18:00,1,0.017,1,0.041,,,,,
1,61,0.003,0.3,23,2,2,1,2024-04-22 17:00,1,0.014,1,0.043,,,,,
1,59,0.003,0.3,21,2,2,1,2024-04-22 16:00,1,0.016,1,0.041,,,,,
1,58,0.003,0.3,14,2,2,1,2024-04-22 15:00,1,0.013,1,0.040,,,,,
,-,-,-,-,,,,2024-04-22 14:00,,-,1,-,통신장애,통신장애,통신장애,통신장애,통신장애
1,69,0.003,0.3,25,2,2,1,2024-04-22 13:00,1,0.013,1,0.053,,,,,
