so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,67,0.002,0.3,17,2,2,1,2024-04-23 12:00,1,0.007,1,0.050
1,65,0.002,0.2,14,2,2,1,2024-04-23 11:00,1,0.008,1,0.048
1,63,0.002,0.3,15,2,2,1,2024-04-23 10:00,1,0.008,1,0.046
1,61,0.002,0.3,17,2,2,1,2024-04-23 09:00,1,0.012,1,0.043
1,58,0.002,0.3,16,2,2,1,2024-04-23 08:00,1,0.015,1,0.039
1,58,0.002,0.3,20,2,2,1,2024-04-23 07:00,1,0.014,1,0.040
1,61,0.002,0.2,17,2,2,1,2024-04-23 06:00,1,0.010,1,0.043
1,63,0.001,0.2,18,2,2,1,2024-04-23 05:00,1,0.007,1,0.045
1,65,0.002,0.2,15,2,2,1,2024-04-23 04:00,1,0.005,1,0.048
1,65,0.002,0.2,18,2,2,1,2024-04-23 03:00,1,0.005,1,0.048
1,65,0.002,0.2,17,2,2,1,2024-04-23 02:00,1,0.005,1,0.048
1,64,0.002,0.2,19,2,2,1,2024-04-23 01:00,1,0.006,1,0.047
1,63,0.002,0.2,19,2,2,1,2024-04-22 24:00,1,0.007,1,0.045
1,63,0.002,0.2,23,2,2,1,2024-04-22 23:00,1,0.007,1,0.046
1,63,0.002,0.2,23,2,2,1,2024-04-22 22:00,1,0.007,1,0.046
1,63,0.002,0.3,23,2,2,1,2024-04-22 21:00,1,0.010,1,0.045
1,63,0.002,0.3,25,2,2,1,2024-04-22 20:00,1,0.009,1,0.046
1,64,0.002,0.3,28,2,2,1,2024-04-22 19:00,1,0.012,1,0.047
1,68,0.002,0.3,28,2,2,1,2024-04-22 18:00,1,0.010,1,0.052
1,71,0.002,0.2,24,2,2,1,2024-04-22 17:00,1,0.007,1,0.055
1,70,0.002,0.3,26,2,2,1,2024-04-22 16:00,1,0.008,1,0.054
1,69,0.002,0.3,26,2,2,1,2024-04-22 15:00,1,0.007,1,0.053
1,68,0.002,0.3,25,2,2,1,2024-04-22 14:00,1,0.008,1,0.051
