so2Grade,khaiValue,so2Value,coValue,pm10Value,khaiGrade,no2Grade,o3Flag,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,40,0.002,0.4,19,1,1,통신장애,2024-04-23 09:00,1,0.019,1,-
1,40,0.002,0.3,17,1,1,통신장애,2024-04-23 08:00,1,0.022,1,-
1,43,0.002,0.3,16,1,1,통신장애,2024-04-23 07:00,1,0.015,1,-
1,43,0.002,0.3,17,1,1,통신장애,2024-04-23 06:00,1,0.006,1,-
1,47,0.002,0.3,20,1,1,통신장애,2024-04-23 05:00,1,0.006,1,-
1,47,0.002,0.3,21,1,1,통신장애,2024-04-23 04:00,1,0.005,1,-
1,47,0.002,0.3,22,1,1,통신장애,2024-04-23 03:00,1,0.008,1,-
1,50,0.002,0.3,25,1,1,통신장애,2024-04-23 02:00,1,0.012,1,-
1,51,0.002,0.3,29,2,1,통신장애,2024-04-23 01:00,1,0.008,2,-
1,54,0.002,0.4,31,2,1,통신장애,2024-04-22 24:00,1,0.011,2,-
1,54,0.002,0.4,33,2,1,통신장애,2024-04-22 23:00,1,0.015,2,-
1,54,0.002,0.4,34,2,1,통신장애,2024-04-22 22:00,1,0.014,2,-
1,52,0.002,0.5,33,2,1,통신장애,2024-04-22 21:00,1,0.027,2,-
1,52,0.002,0.5,32,2,1,통신장애,2024-04-22 20:00,1,0.023,2,-
1,51,0.002,0.4,33,2,1,통신장애,2024-04-22 19:00,1,0.018,2,-
1,51,0.002,0.4,32,2,1,통신장애,2024-04-22 18:00,1,0.019,2,-
1,50,0.002,0.4,28,1,1,통신장애,2024-04-22 17:00,1,0.016,1,-
1,51,0.002,0.4,27,2,1,통신장애,2024-04-22 16:00,1,0.013,2,-
1,52,0.002,0.3,28,2,1,통신장애,2024-04-22 15:00,1,0.010,2,-
1,53,0.002,0.3,29,2,1,통신장애,2024-04-22 14:00,1,0.010,2,-
1,54,0.002,0.3,33,2,1,통신장애,2024-04-22 13:00,1,0.012,2,-
1,54,0.002,0.3,35,2,1,통신장애,2024-04-22 12:00,1,0.011,2,-
