so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,68,0.003,0.3,28,2,2,1,2024-04-23 12:00,1,0.009,1,0.051
1,68,0.002,0.3,36,2,2,1,2024-04-23 11:00,1,0.009,1,0.051
1,66,0.003,0.3,30,2,2,1,2024-04-23 10:00,1,0.013,1,0.049
1,54,0.003,0.4,29,2,2,1,2024-04-23 09:00,1,0.024,1,0.031
1,54,0.004,0.5,30,1,2,2,2024-04-23 08:00,1,0.032,1,0.013
1,59,0.003,0.4,27,1,2,2,2024-04-23 07:00,1,0.036,1,0.008
1,56,0.003,0.4,29,1,2,1,2024-04-23 06:00,1,0.028,1,0.011
1,56,0.003,0.4,29,1,2,1,2024-04-23 05:00,1,0.023,1,0.016
1,54,0.003,0.4,29,1,2,1,2024-04-23 04:00,1,0.022,1,0.015
1,54,0.003,0.4,28,1,2,1,2024-04-23 03:00,1,0.019,1,0.018
1,54,0.003,0.4,28,1,2,1,2024-04-23 02:00,1,0.020,1,0.021
1,54,0.003,0.4,27,1,2,1,2024-04-23 01:00,1,0.019,1,0.026
1,51,0.003,0.4,32,1,2,1,2024-04-22 24:00,1,0.020,1,0.027
1,56,0.003,0.4,31,2,2,1,2024-04-22 23:00,1,0.015,1,0.037
1,55,0.003,0.4,33,2,2,1,2024-04-22 22:00,1,0.016,1,0.036
1,58,0.003,0.3,30,2,2,1,2024-04-22 21:00,1,0.014,1,0.040
1,59,0.003,0.3,26,2,2,1,2024-04-22 20:00,1,0.013,1,0.041
1,57,0.002,0.3,27,2,2,1,2024-04-22 19:00,1,0.014,1,0.038
1,57,0.002,0.3,23,2,2,1,2024-04-22 18:00,1,0.012,1,0.038
1,56,0.002,0.3,24,2,2,1,2024-04-22 17:00,1,0.012,1,0.037
1,55,0.002,0.3,27,2,2,1,2024-04-22 16:00,1,0.012,1,0.036
1,54,0.002,0.3,26,2,2,1,2024-04-22 15:00,1,0.012,1,0.035
1,55,0.002,0.3,27,2,2,1,2024-04-22 14:00,1,0.012,1,0.036
