so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,73,0.001,0.3,19,2,2,1,2024-04-23 11:00,1,0.006,1,0.058
1,70,0.001,0.3,25,2,2,1,2024-04-23 10:00,1,0.007,1,0.054
1,66,0.001,0.3,16,2,2,1,2024-04-23 09:00,1,0.009,1,0.049
1,63,0.001,0.4,12,2,2,1,2024-04-23 08:00,1,0.010,1,0.045
1,62,0.001,0.3,15,2,2,1,2024-04-23 07:00,1,0.011,1,0.044
1,65,0.001,0.3,13,2,2,1,2024-04-23 06:00,1,0.007,1,0.048
1,64,0.001,0.3,18,2,2,1,2024-04-23 05:00,1,0.006,1,0.047
1,63,0.001,0.3,16,2,2,1,2024-04-23 04:00,1,0.006,1,0.045
1,64,0.001,0.3,20,2,2,1,2024-04-23 03:00,1,0.007,2,0.044
1,64,0.001,0.3,18,2,2,1,2024-04-23 02:00,1,0.006,2,0.045
1,62,0.002,0.4,42,2,2,1,2024-04-23 01:00,1,0.011,2,0.044
1,66,0.002,0.4,54,2,2,1,2024-04-22 24:00,1,0.015,2,0.049
1,65,0.002,0.5,46,2,2,1,2024-04-22 23:00,1,0.017,2,0.048
1,67,0.002,0.5,44,2,2,1,2024-04-22 22:00,1,0.018,2,0.050
1,67,0.002,0.5,36,2,2,1,2024-04-22 21:00,1,0.020,2,0.050
1,72,0.002,0.4,33,2,2,1,2024-04-22 20:00,1,0.013,2,0.056
1,76,0.002,0.4,37,2,2,1,2024-04-22 19:00,1,0.010,2,0.061
1,78,0.002,0.4,36,2,2,1,2024-04-22 18:00,1,0.008,2,0.064
1,80,0.001,0.4,30,2,2,1,2024-04-22 17:00,1,0.007,2,0.066
1,80,0.001,0.4,28,2,2,1,2024-04-22 16:00,1,0.007,2,0.066
1,-,0.001,0.4,35,2,,1,2024-04-22 15:00,1,0.007,,0.065
1,-,0.001,0.3,40,2,,1,2024-04-22 14:00,1,0.006,,0.065
