so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,74,0.001,0.3,18,2,2,1,2024-04-23 11:00,1,0.004,1,0.059
1,73,0.002,0.3,15,2,2,1,2024-04-23 10:00,1,0.004,1,0.058
1,71,0.001,0.3,7,2,2,1,2024-04-23 09:00,1,0.004,1,0.055
1,70,0.001,0.3,20,2,2,1,2024-04-23 08:00,1,0.004,1,0.054
1,65,0.001,0.3,19,2,2,1,2024-04-23 07:00,1,0.004,1,0.048
1,59,0.001,0.3,17,2,2,1,2024-04-23 06:00,1,0.004,1,0.041
1,58,0.002,0.3,15,2,2,1,2024-04-23 05:00,1,0.004,1,0.039
1,58,0.002,0.3,19,2,2,1,2024-04-23 04:00,1,0.004,1,0.040
1,60,0.001,0.3,18,2,2,1,2024-04-23 03:00,1,0.004,1,0.042
1,62,0.001,0.3,19,2,2,1,2024-04-23 02:00,1,0.004,1,0.044
1,-,0.001,0.3,13,2,,1,2024-04-23 01:00,1,0.004,1,0.042
1,-,0.001,0.3,15,2,,1,2024-04-22 24:00,1,0.004,1,0.044
1,62,0.001,0.3,18,2,2,1,2024-04-22 23:00,1,0.004,1,0.044
1,58,0.001,0.3,15,2,2,1,2024-04-22 22:00,1,0.005,1,0.039
1,56,0.001,0.3,27,2,2,1,2024-04-22 21:00,1,0.005,1,0.037
1,58,0.001,0.3,25,2,2,1,2024-04-22 20:00,1,0.005,1,0.040
1,62,0.001,0.3,32,2,2,1,2024-04-22 19:00,1,0.005,1,0.044
1,64,0.001,0.3,37,2,2,1,2024-04-22 18:00,1,0.005,1,0.047
1,68,0.001,0.3,37,2,2,1,2024-04-22 17:00,1,0.005,1,0.051
1,76,0.001,0.3,25,2,2,1,2024-04-22 16:00,1,0.005,1,0.061
1,76,0.001,0.3,31,2,2,1,2024-04-22 15:00,1,0.005,1,0.061
1,75,0.001,0.3,27,2,2,1,2024-04-22 14:00,1,0.005,1,0.060
