so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,62,0.003,0.5,32,2,2,1,2024-04-23 11:00,1,0.020,1,0.044
1,61,0.003,0.5,28,2,2,1,2024-04-23 10:00,1,0.016,1,0.043
1,61,0.002,0.5,34,2,2,1,2024-04-23 09:00,1,0.017,1,0.043
1,60,0.002,0.3,28,2,2,1,2024-04-23 08:00,1,0.022,1,0.042
1,59,0.003,0.3,29,2,2,1,2024-04-23 07:00,1,0.021,1,0.041
1,60,0.002,0.3,26,2,2,1,2024-04-23 06:00,1,0.020,1,0.042
1,63,0.003,0.3,26,2,2,1,2024-04-23 05:00,1,0.015,1,0.046
1,62,0.002,0.3,23,2,2,1,2024-04-23 04:00,1,0.020,1,0.044
1,66,0.003,0.3,25,2,2,1,2024-04-23 03:00,1,0.011,1,0.049
1,62,0.002,0.3,24,2,2,1,2024-04-23 02:00,1,0.014,2,0.044
1,62,0.002,0.3,28,2,2,1,2024-04-23 01:00,1,0.014,2,0.044
1,62,0.003,0.3,30,2,2,1,2024-04-22 24:00,1,0.013,2,0.044
1,61,0.002,0.3,33,2,2,1,2024-04-22 23:00,1,0.014,2,0.043
1,62,0.002,0.3,34,2,2,1,2024-04-22 22:00,1,0.017,2,0.044
1,58,0.002,0.4,38,2,2,1,2024-04-22 21:00,1,0.022,2,0.040
1,59,0.003,0.5,38,2,2,1,2024-04-22 20:00,1,0.023,2,0.041
1,59,0.003,0.5,44,2,2,1,2024-04-22 19:00,1,0.023,2,0.041
1,65,0.003,0.5,31,2,2,1,2024-04-22 18:00,1,0.020,2,0.048
1,66,0.003,0.6,36,2,2,1,2024-04-22 17:00,1,0.021,2,0.049
1,68,0.003,0.5,37,2,2,1,2024-04-22 16:00,1,0.019,2,0.051
1,68,0.003,0.5,39,2,2,1,2024-04-22 15:00,1,0.016,2,0.052
1,68,0.003,0.4,33,2,2,1,2024-04-22 14:00,1,0.013,2,0.051
