so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,75,0.002,0.4,25,2,2,1,2024-04-23 11:00,1,0.013,1,0.060
1,73,0.002,0.4,22,2,2,1,2024-04-23 10:00,1,0.015,1,0.057
1,68,0.002,0.4,23,2,2,1,2024-04-23 09:00,1,0.018,1,0.052
1,63,0.002,0.4,13,2,2,1,2024-04-23 08:00,1,0.022,1,0.046
1,65,0.002,0.4,16,2,2,1,2024-04-23 07:00,1,0.018,1,0.048
1,69,0.002,0.4,20,2,2,1,2024-04-23 06:00,1,0.012,1,0.053
1,68,0.002,0.4,21,2,2,1,2024-04-23 05:00,1,0.011,2,0.051
1,67,0.002,0.4,20,2,2,1,2024-04-23 04:00,1,0.011,2,0.050
1,66,0.002,0.4,36,2,2,1,2024-04-23 03:00,1,0.013,2,0.047
1,64,0.002,0.4,58,2,2,2,2024-04-23 02:00,1,0.033,2,0.032
1,63,0.002,0.4,47,2,2,2,2024-04-23 01:00,1,0.038,2,0.034
1,71,0.002,0.4,40,2,2,1,2024-04-22 24:00,1,0.021,2,0.055
1,81,0.002,0.4,38,2,2,1,2024-04-22 23:00,1,0.017,2,0.067
1,89,0.002,0.4,36,2,2,1,2024-04-22 22:00,1,0.015,2,0.077
1,98,0.003,0.4,37,2,2,1,2024-04-22 21:00,1,0.014,2,0.087
1,97,0.003,0.4,40,2,2,1,2024-04-22 20:00,1,0.015,2,0.086
1,91,0.003,0.4,38,2,2,1,2024-04-22 19:00,1,0.017,2,0.079
1,88,0.002,0.4,34,2,2,1,2024-04-22 18:00,1,0.015,2,0.075
1,88,0.002,0.4,27,2,2,1,2024-04-22 17:00,1,0.014,1,0.075
1,88,0.002,0.4,30,2,2,1,2024-04-22 16:00,1,0.013,2,0.075
1,86,0.002,0.4,33,2,2,1,2024-04-22 15:00,1,0.012,2,0.073
1,83,0.002,0.4,29,2,2,1,2024-04-22 14:00,1,0.012,2,0.069
