so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,60,0.003,0.5,40,2,2,1,2024-04-23 11:00,1,0.015,2,0.032
1,60,0.003,0.4,40,2,2,1,2024-04-23 10:00,1,0.018,2,0.031
1,60,0.003,0.4,43,2,2,1,2024-04-23 09:00,1,0.017,2,0.031
1,60,0.003,0.4,37,2,2,1,2024-04-23 08:00,1,0.014,2,0.036
1,61,0.003,0.4,34,2,2,1,2024-04-23 07:00,1,0.010,2,0.043
1,65,0.003,0.4,41,2,2,1,2024-04-23 06:00,1,0.009,2,0.048
1,65,0.003,0.4,39,2,2,1,2024-04-23 05:00,1,0.010,2,0.048
1,64,0.003,0.5,44,2,2,1,2024-04-23 04:00,1,0.011,2,0.047
1,64,0.003,0.4,41,2,2,1,2024-04-23 03:00,1,0.008,2,0.047
1,64,0.003,0.4,40,2,2,1,2024-04-23 02:00,1,0.009,2,0.045
1,65,0.004,0.4,40,2,2,1,2024-04-23 01:00,1,0.008,2,0.046
1,66,0.003,0.4,43,2,2,1,2024-04-22 24:00,1,0.011,2,0.044
1,67,0.003,0.4,45,2,2,1,2024-04-22 23:00,1,0.012,2,0.043
1,68,0.003,0.5,45,2,2,1,2024-04-22 22:00,1,0.011,2,0.043
1,68,0.003,0.5,49,2,2,1,2024-04-22 21:00,1,0.014,2,0.038
1,68,0.003,0.5,49,2,2,1,2024-04-22 20:00,1,0.014,2,0.036
1,68,0.003,0.5,46,2,2,1,2024-04-22 19:00,1,0.012,2,0.037
1,69,0.003,0.5,46,2,2,1,2024-04-22 18:00,1,0.013,2,0.036
1,69,0.003,0.5,46,2,2,1,2024-04-22 17:00,1,0.015,2,0.033
1,68,0.003,0.4,50,2,2,1,2024-04-22 16:00,1,0.013,2,0.033
1,67,0.003,0.4,51,2,2,1,2024-04-22 15:00,1,0.015,2,0.032
1,68,0.003,0.4,48,2,2,1,2024-04-22 14:00,1,0.013,2,0.033
1,69,0.003,0.5,46,2,2,1,2024-04-22 13:00,1,0.013,2,0.032
