so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,69,0.003,0.2,17,2,2,1,2024-04-23 11:00,1,0.002,1,0.053
1,71,0.002,0.3,18,2,2,1,2024-04-23 10:00,1,0.002,1,0.055
1,73,0.002,0.3,18,2,2,1,2024-04-23 09:00,1,0.002,1,0.057
1,73,0.002,0.3,20,2,2,1,2024-04-23 08:00,1,0.002,1,0.057
1,70,0.002,0.3,23,2,2,1,2024-04-23 07:00,1,0.003,1,0.054
1,58,0.002,0.3,22,2,2,1,2024-04-23 06:00,1,0.003,1,0.039
1,48,0.002,0.3,20,1,1,1,2024-04-23 05:00,1,0.003,1,0.029
1,42,0.002,0.2,16,1,1,1,2024-04-23 04:00,1,0.003,1,0.025
1,47,0.002,0.2,18,1,1,1,2024-04-23 03:00,1,0.002,1,0.028
1,51,0.002,0.2,22,2,2,1,2024-04-23 02:00,1,0.002,1,0.031
1,53,0.002,0.2,20,2,2,1,2024-04-23 01:00,1,0.002,1,0.033
1,60,0.002,0.3,21,2,2,1,2024-04-22 24:00,1,0.003,1,0.042
1,73,0.002,0.2,24,2,2,1,2024-04-22 23:00,1,0.002,1,0.057
1,71,0.003,0.3,21,2,2,1,2024-04-22 22:00,1,0.002,1,0.055
1,72,0.003,0.3,19,2,2,1,2024-04-22 21:00,1,0.002,1,0.056
1,70,0.003,0.2,18,2,2,1,2024-04-22 20:00,1,0.003,1,0.054
1,68,0.003,0.2,25,2,2,1,2024-04-22 19:00,1,0.002,1,0.051
1,68,0.003,0.3,21,2,2,1,2024-04-22 18:00,1,0.002,1,0.052
1,68,0.003,0.2,22,2,2,1,2024-04-22 17:00,1,0.002,1,0.051
1,67,0.003,0.2,29,2,2,1,2024-04-22 16:00,1,0.002,1,0.050
1,67,0.003,0.3,23,2,2,1,2024-04-22 15:00,1,0.003,1,0.050
1,67,0.003,0.2,22,2,2,1,2024-04-22 14:00,1,0.002,1,0.050
