so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,68,0.003,0.3,25,2,2,1,2024-04-23 11:00,1,0.003,1,0.051
1,64,0.003,0.3,21,2,2,1,2024-04-23 10:00,1,0.004,1,0.047
1,63,0.003,0.3,23,2,2,1,2024-04-23 09:00,1,0.004,1,0.045
1,55,0.003,0.3,20,2,2,1,2024-04-23 08:00,1,0.009,1,0.036
1,47,0.003,0.3,19,1,1,1,2024-04-23 07:00,1,0.012,1,0.025
1,50,0.003,0.3,21,1,1,1,2024-04-23 06:00,1,0.008,1,0.018
1,51,0.003,0.3,17,1,2,1,2024-04-23 05:00,1,0.006,1,0.020
1,51,0.003,0.3,26,1,2,1,2024-04-23 04:00,1,0.006,2,0.020
1,51,0.003,0.3,27,1,2,1,2024-04-23 03:00,1,0.006,2,0.022
1,54,0.003,0.3,28,1,2,1,2024-04-23 02:00,1,0.005,2,0.023
1,56,0.003,0.3,28,1,2,1,2024-04-23 01:00,1,0.006,2,0.018
1,59,0.003,0.3,27,1,2,1,2024-04-22 24:00,1,0.005,2,0.022
1,61,0.003,0.3,46,1,2,1,2024-04-22 23:00,1,0.006,2,0.025
1,61,0.003,0.3,39,1,2,1,2024-04-22 22:00,1,0.008,2,0.022
1,59,0.003,0.3,39,1,2,1,2024-04-22 21:00,1,0.008,2,0.028
1,57,0.003,0.3,46,2,2,1,2024-04-22 20:00,1,0.007,2,0.035
1,58,0.003,0.3,46,2,2,1,2024-04-22 19:00,1,0.007,2,0.040
1,59,0.003,0.3,36,2,2,1,2024-04-22 18:00,1,0.007,2,0.041
1,63,0.003,0.3,29,2,2,1,2024-04-22 17:00,1,0.006,2,0.045
1,65,0.003,0.3,23,2,2,1,2024-04-22 16:00,1,0.005,2,0.048
1,67,0.003,0.3,33,2,2,1,2024-04-22 15:00,1,0.004,2,0.050
1,66,0.003,0.3,39,2,2,1,2024-04-22 14:00,1,0.003,2,0.049
1,64,0.003,0.3,34,2,2,1,2024-04-22 13:00,1,0.004,2,0.047
