so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,78,0.001,0.5,24,2,2,1,2024-04-23 11:00,1,0.003,1,0.063
1,75,0.001,0.5,23,2,2,1,2024-04-23 10:00,1,0.003,1,0.060
1,73,0.001,0.5,23,2,2,1,2024-04-23 09:00,1,0.003,1,0.058
1,66,0.001,0.5,24,2,2,1,2024-04-23 08:00,1,0.003,1,0.049
1,53,0.001,0.5,22,2,2,1,2024-04-23 07:00,1,0.004,1,0.033
1,60,0.001,0.5,21,2,2,1,2024-04-23 06:00,1,0.003,1,0.042
1,50,0.001,0.5,19,1,1,1,2024-04-23 05:00,1,0.003,1,0.030
1,53,0.001,0.5,17,2,2,1,2024-04-23 04:00,1,0.003,1,0.033
1,55,0.001,0.5,19,2,2,1,2024-04-23 03:00,1,0.003,1,0.036
1,60,0.001,0.5,17,2,2,1,2024-04-23 02:00,1,0.004,1,0.042
1,68,0.001,0.5,18,2,2,1,2024-04-23 01:00,1,0.003,1,0.051
1,70,0.001,0.5,29,2,2,1,2024-04-22 24:00,1,0.004,1,0.054
1,68,0.001,0.5,25,2,2,1,2024-04-22 23:00,1,0.004,1,0.052
1,63,0.001,0.5,20,2,2,1,2024-04-22 22:00,1,0.005,1,0.045
1,68,0.001,0.5,28,2,2,1,2024-04-22 21:00,1,0.005,1,0.052
1,73,0.001,0.5,25,2,2,1,2024-04-22 20:00,1,0.006,1,0.057
1,76,0.001,0.5,33,2,2,1,2024-04-22 19:00,1,0.006,1,0.061
1,78,0.001,0.5,25,2,2,1,2024-04-22 18:00,1,0.006,1,0.064
1,78,0.001,0.5,29,2,2,1,2024-04-22 17:00,1,0.005,2,0.064
1,78,0.001,0.5,31,2,2,1,2024-04-22 16:00,1,0.004,2,0.064
1,78,0.001,0.5,29,2,2,1,2024-04-22 15:00,1,0.004,2,0.064
1,78,0.001,0.5,34,2,2,1,2024-04-22 14:00,1,0.004,2,0.063
1,75,0.001,0.5,30,2,2,1,2024-04-22 13:00,1,0.004,2,0.060
