so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,69,0.001,0.4,31,2,2,1,2024-04-23 11:00,1,0.011,1,0.053
1,66,0.001,0.4,25,2,2,1,2024-04-23 10:00,1,0.011,1,0.049
1,58,0.001,0.5,20,2,2,1,2024-04-23 09:00,1,0.011,1,0.040
1,47,0.001,0.4,16,1,1,1,2024-04-23 08:00,1,0.009,1,0.028
1,51,0.001,0.4,20,2,2,1,2024-04-23 07:00,1,0.008,1,0.031
1,55,0.001,0.4,17,2,2,1,2024-04-23 06:00,1,0.006,1,0.036
1,55,0.001,0.4,17,2,2,1,2024-04-23 05:00,1,0.006,1,0.036
1,59,0.001,0.3,17,2,2,1,2024-04-23 04:00,1,0.005,1,0.041
1,62,0.001,0.3,16,2,2,1,2024-04-23 03:00,1,0.005,1,0.044
1,63,0.001,0.3,20,2,2,1,2024-04-23 02:00,1,0.006,1,0.045
1,63,0.001,0.4,20,2,2,1,2024-04-23 01:00,1,0.006,1,0.046
1,66,0.001,0.3,21,2,2,1,2024-04-22 24:00,1,0.006,1,0.049
1,64,0.001,0.3,21,2,2,1,2024-04-22 23:00,1,0.006,1,0.047
1,63,0.001,0.3,24,2,2,1,2024-04-22 22:00,1,0.006,1,0.046
1,65,0.001,0.3,25,2,2,1,2024-04-22 21:00,1,0.005,1,0.048
1,70,0.001,0.3,23,2,2,1,2024-04-22 20:00,1,0.005,1,0.054
1,74,0.001,0.3,26,2,2,1,2024-04-22 19:00,1,0.005,1,0.059
1,76,0.001,0.3,26,2,2,1,2024-04-22 18:00,1,0.006,1,0.061
1,77,0.001,0.3,29,2,2,1,2024-04-22 17:00,1,0.007,2,0.062
1,73,0.001,0.4,27,2,2,1,2024-04-22 16:00,1,0.008,2,0.058
1,68,0.001,0.4,34,2,2,1,2024-04-22 15:00,1,0.010,2,0.052
1,70,0.001,0.3,31,2,2,1,2024-04-22 14:00,1,0.007,2,0.054
