so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,68,0.001,0.1,22,2,2,1,2024-04-23 11:00,1,0.004,1,0.051
1,70,0.001,0.1,17,2,2,1,2024-04-23 10:00,1,0.003,1,0.054
1,73,0.001,0.1,19,2,2,1,2024-04-23 09:00,1,0.003,1,0.057
1,71,0.001,0.1,17,2,2,1,2024-04-23 08:00,1,0.003,1,0.055
1,75,0.001,0.1,23,2,2,1,2024-04-23 07:00,1,0.003,1,0.060
1,54,0.001,0.1,19,2,2,1,2024-04-23 06:00,1,0.005,1,0.035
1,45,0.001,0.1,16,1,1,1,2024-04-23 05:00,1,0.004,1,0.027
1,40,0.001,0.1,20,1,1,1,2024-04-23 04:00,1,0.004,1,0.024
1,42,0.001,0.1,22,1,1,1,2024-04-23 03:00,1,0.005,1,0.025
1,43,0.001,0.1,25,1,1,1,2024-04-23 02:00,1,0.006,1,0.025
1,45,0.001,0.2,26,1,1,1,2024-04-23 01:00,1,0.006,1,0.026
1,48,0.001,0.1,23,1,1,1,2024-04-22 24:00,1,0.005,1,0.029
1,48,0.001,0.1,36,1,1,1,2024-04-22 23:00,1,0.006,1,0.029
1,50,0.001,0.1,31,1,1,1,2024-04-22 22:00,1,0.008,1,0.030
1,59,0.001,0.1,28,2,2,1,2024-04-22 21:00,1,0.006,1,0.041
1,72,0.001,0.1,26,2,2,1,2024-04-22 20:00,1,0.004,1,0.056
1,74,0.001,0.1,26,2,2,1,2024-04-22 19:00,1,0.004,1,0.059
1,74,0.001,0.1,20,2,2,1,2024-04-22 18:00,1,0.003,1,0.059
1,75,0.001,0.1,22,2,2,1,2024-04-22 17:00,1,0.003,1,0.060
1,72,0.001,0.1,19,2,2,1,2024-04-22 16:00,1,0.003,1,0.056
1,70,0.001,0.1,22,2,2,1,2024-04-22 15:00,1,0.003,1,0.054
1,68,0.002,0.0,21,2,2,1,2024-04-22 14:00,1,0.003,1,0.052
1,68,0.002,0.1,24,2,2,1,2024-04-22 13:00,1,0.003,2,0.051
