so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value,so2Flag
1,61,0.003,0.3,35,2,2,1,2024-04-23 11:00,1,0.013,1,0.043,
1,58,0.003,0.3,34,2,2,1,2024-04-23 10:00,1,0.015,1,0.040,
1,59,0.003,0.4,27,2,2,1,2024-04-23 09:00,1,0.017,1,0.041,
1,58,0.003,0.3,31,2,2,1,2024-04-23 08:00,1,0.019,1,0.040,
1,60,0.003,0.3,25,2,2,1,2024-04-23 07:00,1,0.017,1,0.042,
1,64,0.003,0.3,24,2,2,1,2024-04-23 06:00,1,0.011,1,0.047,
1,68,0.003,0.3,27,2,2,1,2024-04-23 05:00,1,0.007,1,0.051,
1,68,0.002,0.3,24,2,2,1,2024-04-23 04:00,1,0.006,1,0.052,
1,68,0.003,0.3,28,2,2,1,2024-04-23 03:00,1,0.006,2,0.052,
1,66,0.003,0.3,33,2,2,1,2024-04-23 02:00,1,0.007,2,0.049,
1,63,0.003,0.3,33,2,2,1,2024-04-23 01:00,1,0.008,1,0.046,
1,62,0.003,0.3,27,2,2,1,2024-04-22 24:00,1,0.011,2,0.044,
1,61,0.002,0.3,32,2,2,1,2024-04-22 23:00,1,0.013,2,0.043,
1,60,0.002,0.3,28,2,2,1,2024-04-22 22:00,1,0.014,2,0.042,
1,58,0.003,0.4,32,2,2,1,2024-04-22 21:00,1,0.015,2,0.040,
1,57,0.003,0.4,29,2,2,1,2024-04-22 20:00,1,0.016,2,0.038,
1,54,0.002,0.4,38,2,2,1,2024-04-22 19:00,1,0.017,1,0.035,
1,55,0.002,0.4,33,2,2,1,2024-04-22 18:00,1,0.015,1,0.036,
1,54,0.002,0.4,30,2,2,1,2024-04-22 17:00,1,0.017,1,0.035,
1,51,0.002,0.4,29,2,2,1,2024-04-22 16:00,1,0.020,1,0.031,
1,50,0.002,0.3,28,1,1,1,2024-04-22 15:00,1,0.016,1,0.030,
1,50,0.002,0.4,30,1,1,1,2024-04-22 14:00,1,0.015,1,0.030,
,50,-,0.4,39,1,1,1,2024-04-22 13:00,1,0.015,1,0.030,통신장애
