so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,74,0.002,0.3,20,2,2,1,2024-04-23 11:00,1,0.006,1,0.059
1,71,0.002,0.3,21,2,2,1,2024-04-23 10:00,1,0.006,1,0.055
1,58,0.002,0.3,38,2,2,1,2024-04-23 09:00,1,0.007,1,0.040
1,54,0.002,0.3,23,1,2,1,2024-04-23 08:00,1,0.007,1,0.020
1,54,0.002,0.3,29,1,2,1,2024-04-23 07:00,1,0.008,1,0.012
1,51,0.002,0.3,20,1,2,1,2024-04-23 06:00,1,0.007,1,0.014
1,56,0.002,0.3,27,1,2,1,2024-04-23 05:00,1,0.007,1,0.015
1,51,0.002,0.3,25,1,2,1,2024-04-23 04:00,1,0.008,1,0.018
1,54,0.002,0.3,17,1,2,1,2024-04-23 03:00,1,0.007,1,0.022
1,51,0.002,0.3,38,1,2,1,2024-04-23 02:00,1,0.008,1,0.022
1,43,0.002,0.3,20,1,1,1,2024-04-23 01:00,1,0.008,1,0.025
1,50,0.002,0.3,21,1,1,1,2024-04-22 24:00,1,0.007,1,0.030
1,55,0.002,0.3,20,2,2,1,2024-04-22 23:00,1,0.007,1,0.036
1,58,0.002,0.3,24,2,2,1,2024-04-22 22:00,1,0.008,1,0.040
1,66,0.002,0.3,23,2,2,1,2024-04-22 21:00,1,0.007,1,0.049
1,70,0.002,0.3,27,2,2,1,2024-04-22 20:00,1,0.007,1,0.054
1,73,0.002,0.3,31,2,2,1,2024-04-22 19:00,1,0.006,1,0.057
1,74,0.002,0.3,27,2,2,1,2024-04-22 18:00,1,0.006,1,0.059
1,74,0.002,0.3,30,2,2,1,2024-04-22 17:00,1,0.007,1,0.059
1,75,0.002,0.3,27,2,2,1,2024-04-22 16:00,1,0.007,1,0.060
1,75,0.002,0.3,30,2,2,1,2024-04-22 15:00,1,0.006,1,0.060
1,-,0.002,0.3,28,2,,1,2024-04-22 14:00,1,0.006,,0.058
1,-,0.002,0.3,19,2,,1,2024-04-22 13:00,1,0.007,,0.057
