so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value,coFlag,no2Flag,o3Flag,so2Flag
1,52,0.003,0.5,34,2,2,1,2024-04-23 11:00,1,0.015,2,0.032,,,,
1,52,0.003,0.5,34,1,2,1,2024-04-23 10:00,1,0.016,2,0.028,,,,
1,52,0.003,0.5,25,1,2,1,2024-04-23 09:00,1,0.016,2,0.025,,,,
1,54,0.003,0.4,31,1,2,1,2024-04-23 08:00,1,0.013,2,0.021,,,,
1,55,0.003,0.4,32,1,2,1,2024-04-23 07:00,1,0.022,2,0.005,,,,
1,55,0.003,0.5,30,1,2,1,2024-04-23 06:00,1,0.019,2,0.007,,,,
1,56,0.003,0.5,33,1,2,1,2024-04-23 05:00,1,0.015,2,0.013,,,,
1,57,0.003,0.5,31,1,2,1,2024-04-23 04:00,1,0.017,2,0.011,,,,
1,59,0.003,0.6,37,1,2,1,2024-04-23 03:00,1,0.016,2,0.015,,,,
1,59,0.003,0.6,36,1,2,1,2024-04-23 02:00,1,0.016,2,0.016,,,,
1,60,0.003,0.6,40,1,2,1,2024-04-23 01:00,1,0.014,2,0.020,,,,
1,61,0.003,0.5,40,1,2,1,2024-04-22 24:00,1,0.010,2,0.027,,,,
1,61,0.003,0.6,41,1,2,1,2024-04-22 23:00,1,0.018,2,0.022,,,,
1,59,0.003,0.6,46,1,2,1,2024-04-22 22:00,1,0.018,2,0.023,,,,
1,58,0.003,0.7,47,1,2,1,2024-04-22 21:00,1,0.018,2,0.024,,,,
,-,-,-,39,,,,2024-04-22 20:00,,-,2,-,통신장애,통신장애,통신장애,통신장애
,-,-,-,29,,,,2024-04-22 19:00,,-,2,-,통신장애,통신장애,통신장애,통신장애
1,55,0.001,0.5,34,1,2,1,2024-04-22 18:00,1,0.018,2,0.030,,,,
1,53,0.001,0.5,45,1,2,1,2024-04-22 17:00,1,0.015,2,0.030,,,,
1,51,0.001,0.6,42,1,2,1,2024-04-22 16:00,1,0.026,2,0.022,,,,
1,50,0.001,0.6,28,1,1,1,2024-04-22 15:00,1,0.021,1,0.025,,,,
1,51,0.001,0.6,25,1,2,1,2024-04-22 14:00,1,0.019,2,0.023,,,,
1,52,0.001,0.5,40,1,2,1,2024-04-22 13:00,1,0.018,2,0.024,,,,
