so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,73,0.002,0.4,36,2,2,1,2024-04-23 11:00,1,0.007,1,0.057
1,68,0.002,0.4,28,2,2,1,2024-04-23 10:00,1,0.008,1,0.051
1,63,0.002,0.4,29,2,2,1,2024-04-23 09:00,1,0.009,1,0.045
1,58,0.002,0.4,20,2,2,1,2024-04-23 08:00,1,0.012,1,0.040
1,54,0.002,0.4,26,2,2,1,2024-04-23 07:00,1,0.014,1,0.034
1,59,0.002,0.4,19,2,2,1,2024-04-23 06:00,1,0.012,2,0.036
1,64,0.002,0.4,20,2,2,1,2024-04-23 05:00,1,0.007,2,0.046
1,72,0.002,0.4,23,2,2,1,2024-04-23 04:00,1,0.006,2,0.046
1,74,0.002,0.4,37,2,2,1,2024-04-23 03:00,1,0.008,2,0.041
1,69,0.002,0.4,43,2,2,1,2024-04-23 02:00,1,0.009,2,0.039
1,65,0.003,0.5,52,2,2,1,2024-04-23 01:00,1,0.010,2,0.042
1,63,0.003,0.5,49,2,2,1,2024-04-22 24:00,1,0.011,2,0.045
1,66,0.002,0.5,47,2,2,1,2024-04-22 23:00,1,0.011,2,0.049
1,65,0.002,0.5,39,2,2,1,2024-04-22 22:00,1,0.012,2,0.048
1,74,0.002,0.4,31,2,2,1,2024-04-22 21:00,1,0.009,2,0.059
1,72,0.002,0.5,37,2,2,1,2024-04-22 20:00,1,0.011,2,0.056
1,72,0.002,0.5,53,2,2,1,2024-04-22 19:00,1,0.012,2,0.056
1,77,0.002,0.5,41,2,2,1,2024-04-22 18:00,1,0.010,2,0.062
1,77,0.002,0.5,44,2,2,1,2024-04-22 17:00,1,0.008,2,0.062
1,76,0.002,0.4,31,2,2,1,2024-04-22 16:00,1,0.007,2,0.061
1,73,0.002,0.5,42,2,2,1,2024-04-22 15:00,1,0.007,2,0.058
1,73,0.002,0.5,42,2,2,1,2024-04-22 14:00,1,0.007,2,0.057
1,72,0.002,0.4,38,2,2,1,2024-04-22 13:00,1,0.006,2,0.056
