so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,181,0.001,0.4,79,2,3,1,2024-04-23 11:00,1,0.007,3,0.056
1,170,0.001,0.4,163,2,3,1,2024-04-23 10:00,1,0.010,3,0.051
1,120,0.002,0.4,100,2,3,1,2024-04-23 09:00,1,0.010,2,0.043
1,120,0.002,0.4,66,2,3,1,2024-04-23 08:00,1,0.009,2,0.039
1,128,0.002,0.4,61,2,3,1,2024-04-23 07:00,1,0.007,2,0.041
1,182,0.002,0.4,58,2,3,1,2024-04-23 06:00,1,0.005,3,0.045
1,182,0.002,0.4,101,2,3,1,2024-04-23 05:00,1,0.006,3,0.042
1,182,0.002,0.4,93,2,3,1,2024-04-23 04:00,1,0.005,3,0.048
1,185,0.002,0.4,69,2,3,1,2024-04-23 03:00,1,0.006,3,0.047
1,197,0.002,0.4,122,2,3,1,2024-04-23 02:00,1,0.007,3,0.048
1,189,0.002,0.4,93,2,3,1,2024-04-23 01:00,1,0.006,3,0.060
1,193,0.002,0.4,131,2,3,1,2024-04-22 24:00,1,0.008,3,0.047
1,197,0.002,0.5,121,2,3,1,2024-04-22 23:00,1,0.010,3,0.043
1,147,0.002,0.4,87,2,3,1,2024-04-22 22:00,1,0.009,2,0.066
1,147,0.002,0.4,101,2,3,1,2024-04-22 21:00,1,0.011,2,0.067
1,143,0.002,0.4,89,2,3,1,2024-04-22 20:00,1,0.013,2,0.071
1,139,0.003,0.4,88,2,3,1,2024-04-22 19:00,1,0.022,2,0.060
1,135,0.002,0.4,85,2,3,1,2024-04-22 18:00,1,0.024,2,0.049
1,132,0.003,0.4,85,2,3,1,2024-04-22 17:00,1,0.022,2,0.050
1,128,0.002,0.4,78,2,3,1,2024-04-22 16:00,1,0.020,2,0.055
1,128,0.003,0.4,79,2,3,1,2024-04-22 15:00,1,0.013,2,0.058
1,124,0.004,0.4,85,2,3,1,2024-04-22 14:00,1,0.018,2,0.052
