so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,72,0.002,0.2,33,2,2,1,2024-04-23 11:00,1,0.004,1,0.056
1,73,0.002,0.2,32,2,2,1,2024-04-23 10:00,1,0.005,1,0.057
1,57,0.002,0.3,23,2,2,1,2024-04-23 09:00,1,0.016,1,0.038
1,37,0.002,0.3,22,1,1,1,2024-04-23 08:00,1,0.022,1,0.015
1,33,0.002,0.3,18,1,1,1,2024-04-23 07:00,1,0.016,1,0.014
1,33,0.002,0.3,16,1,1,1,2024-04-23 06:00,1,0.009,1,0.020
1,37,0.002,0.3,19,1,1,1,2024-04-23 05:00,1,0.007,1,0.022
1,38,0.002,0.2,21,1,1,1,2024-04-23 04:00,1,0.007,1,0.020
1,40,0.002,0.2,18,1,1,1,2024-04-23 03:00,1,0.008,1,0.019
1,42,0.002,0.2,19,1,1,1,2024-04-23 02:00,1,0.008,1,0.023
1,50,0.002,0.2,24,1,1,1,2024-04-23 01:00,1,0.009,1,0.030
1,59,0.002,0.2,20,2,2,1,2024-04-22 24:00,1,0.008,1,0.041
1,62,0.002,0.2,22,2,2,1,2024-04-22 23:00,1,0.007,1,0.044
1,62,0.002,0.2,23,2,2,1,2024-04-22 22:00,1,0.008,1,0.044
1,62,0.002,0.2,24,2,2,1,2024-04-22 21:00,1,0.008,1,0.044
1,63,0.002,0.2,21,2,2,1,2024-04-22 20:00,1,0.007,2,0.045
1,63,0.002,0.2,34,2,2,1,2024-04-22 19:00,1,0.006,2,0.046
1,62,0.002,0.2,38,2,2,1,2024-04-22 18:00,1,0.006,2,0.044
1,63,0.002,0.2,40,2,2,1,2024-04-22 17:00,1,0.006,2,0.046
1,66,0.002,0.2,41,2,2,1,2024-04-22 16:00,1,0.003,2,0.049
1,61,0.002,0.2,29,2,2,1,2024-04-22 15:00,1,0.004,1,0.043
1,-,0.002,0.2,28,2,,1,2024-04-22 14:00,1,0.004,,0.043
1,-,0.002,0.2,21,2,,1,2024-04-22 13:00,1,0.005,,0.043
