so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value,coFlag
1,67,0.004,0.2,36,2,2,1,2024-04-23 12:00,1,0.003,2,0.049,
1,67,0.004,0.2,33,2,2,1,2024-04-23 11:00,1,0.004,2,0.050,
1,66,0.004,0.2,43,2,2,1,2024-04-23 10:00,1,0.004,2,0.049,
1,67,0.004,0.2,119,2,2,1,2024-04-23 09:00,1,0.003,2,0.050,
1,69,0.004,0.2,24,2,2,1,2024-04-23 08:00,1,0.004,1,0.053,
1,70,0.004,0.2,20,2,2,1,2024-04-23 07:00,1,0.005,1,0.054,
1,73,0.004,0.2,25,2,2,1,2024-04-23 06:00,1,0.004,1,0.057,
1,73,0.004,0.2,26,2,2,1,2024-04-23 05:00,1,0.004,1,0.057,
1,73,0.004,0.2,24,2,2,1,2024-04-23 04:00,1,0.004,1,0.057,
1,70,0.005,0.2,24,2,2,1,2024-04-23 03:00,1,0.005,1,0.054,
1,73,0.004,0.2,24,2,2,1,2024-04-23 02:00,1,0.003,1,0.057,
1,75,0.004,0.2,25,2,2,1,2024-04-23 01:00,1,0.003,1,0.060,
1,74,0.004,0.2,25,2,2,1,2024-04-22 24:00,1,0.003,1,0.059,
1,72,0.005,0.2,29,2,2,1,2024-04-22 23:00,1,0.003,1,0.056,
1,66,0.008,0.2,31,2,2,1,2024-04-22 22:00,1,0.007,1,0.049,
1,66,0.007,0.2,21,2,2,1,2024-04-22 21:00,1,0.007,1,0.049,
1,64,0.006,0.2,30,2,2,1,2024-04-22 20:00,1,0.007,1,0.047,
1,65,0.004,-,33,2,2,1,2024-04-22 19:00,,0.006,1,0.048,통신장애
1,64,0.004,0.2,35,2,2,1,2024-04-22 18:00,1,0.006,1,0.047,
1,63,0.004,0.2,34,2,2,1,2024-04-22 17:00,1,0.008,1,0.045,
1,63,0.004,0.2,20,2,2,1,2024-04-22 16:00,1,0.007,1,0.046,
1,61,0.004,0.2,20,2,2,1,2024-04-22 15:00,1,0.006,1,0.043,
1,59,0.004,0.2,30,2,2,1,2024-04-22 14:00,1,0.006,1,0.041,
