so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,74,0.001,0.4,25,2,2,1,2024-04-23 11:00,1,0.004,1,0.059
1,69,0.001,0.4,24,2,2,1,2024-04-23 10:00,1,0.005,1,0.053
1,65,0.001,0.4,18,2,2,1,2024-04-23 09:00,1,0.005,1,0.048
1,57,0.001,0.4,18,2,2,1,2024-04-23 08:00,1,0.006,1,0.038
1,38,0.001,0.4,21,1,1,1,2024-04-23 07:00,1,0.006,1,0.023
1,45,0.001,0.4,22,1,1,1,2024-04-23 06:00,1,0.004,1,0.027
1,50,0.001,0.4,21,1,1,1,2024-04-23 05:00,1,0.003,1,0.030
1,52,0.001,0.4,17,2,2,1,2024-04-23 04:00,1,0.003,1,0.032
1,57,0.001,0.4,17,2,2,1,2024-04-23 03:00,1,0.003,1,0.038
1,58,0.001,0.4,16,2,2,1,2024-04-23 02:00,1,0.003,1,0.040
1,58,0.001,0.4,10,2,2,1,2024-04-23 01:00,1,0.003,1,0.040
1,58,0.001,0.4,20,2,2,1,2024-04-22 24:00,1,0.002,1,0.040
1,59,0.001,0.4,21,2,2,1,2024-04-22 23:00,1,0.002,1,0.041
1,62,0.001,0.4,25,2,2,1,2024-04-22 22:00,1,0.002,1,0.044
1,63,0.001,0.4,29,2,2,1,2024-04-22 21:00,1,0.003,1,0.046
1,63,0.001,0.4,35,2,2,1,2024-04-22 20:00,1,0.004,1,0.046
1,74,0.001,0.4,32,2,2,1,2024-04-22 19:00,1,0.003,1,0.059
1,80,0.001,0.4,29,2,2,1,2024-04-22 18:00,1,0.003,1,0.066
1,81,0.001,0.4,24,2,2,1,2024-04-22 17:00,1,0.003,1,0.067
1,81,0.001,0.4,24,2,2,1,2024-04-22 16:00,1,0.003,1,0.067
1,80,0.001,0.4,29,2,2,1,2024-04-22 15:00,1,0.003,1,0.066
1,77,0.001,0.4,30,2,2,1,2024-04-22 14:00,1,0.005,1,0.062
