so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value,khaiGrade
1,-,0.002,0.4,31,2,1,2024-04-23 12:00,1,0.008,2,0.055,
1,-,0.003,0.5,34,2,1,2024-04-23 11:00,1,0.009,1,0.051,
1,-,0.003,0.4,38,2,1,2024-04-23 10:00,1,0.013,1,0.041,
1,-,0.003,0.5,28,2,1,2024-04-23 09:00,1,0.018,1,0.031,
1,43,0.002,0.5,27,1,1,2024-04-23 08:00,1,0.017,1,0.025,1
1,43,0.002,0.4,27,1,1,2024-04-23 07:00,1,0.017,1,0.016,1
1,45,0.002,0.4,16,1,1,2024-04-23 06:00,1,0.010,1,0.022,1
1,48,0.002,0.4,25,1,1,2024-04-23 05:00,1,0.008,1,0.022,1
1,50,0.002,0.4,23,1,1,2024-04-23 04:00,1,0.011,1,0.020,1
1,51,0.002,0.4,31,1,1,2024-04-23 03:00,1,0.007,2,0.026,2
1,51,0.002,0.5,28,1,1,2024-04-23 02:00,1,0.012,2,0.020,2
1,51,0.002,0.4,34,1,1,2024-04-23 01:00,1,0.014,2,0.022,2
1,58,0.002,0.4,26,2,1,2024-04-22 24:00,1,0.007,2,0.039,2
1,53,0.002,0.4,31,1,1,2024-04-22 23:00,1,0.011,2,0.027,2
1,55,0.002,0.4,26,1,1,2024-04-22 22:00,1,0.011,2,0.022,2
1,55,0.002,0.4,38,1,1,2024-04-22 21:00,1,0.013,2,0.024,2
1,53,0.002,0.4,36,1,1,2024-04-22 20:00,1,0.011,2,0.028,2
1,53,0.002,0.4,42,1,1,2024-04-22 19:00,1,0.015,2,0.027,2
1,54,0.002,0.4,23,2,1,2024-04-22 18:00,1,0.008,2,0.035,2
1,57,0.002,0.3,29,2,1,2024-04-22 17:00,1,0.010,2,0.038,2
1,57,0.003,0.2,39,2,1,2024-04-22 16:00,1,0.012,2,0.038,2
1,59,0.004,0.2,30,2,1,2024-04-22 15:00,1,0.009,2,0.041,2
1,58,0.003,0.3,34,2,1,2024-04-22 14:00,1,0.009,2,0.040,2
