coFlag,khaiValue,so2Value,coValue,pm10Flag,pm10Value,no2Flag,o3Flag,so2Flag,dataTime,no2Value,pm10Grade,o3Value,so2Grade,o3Grade,khaiGrade,no2Grade,coGrade
통신장애,-,-,-,통신장애,-,통신장애,통신장애,통신장애,2024-04-23 11:00,-,2,-,,,,,
,53,0.002,0.7,,28,,,,2024-04-23 10:00,0.011,2,0.031,1,2,2,1,1
,56,0.002,0.7,,34,,,,2024-04-23 09:00,0.016,2,0.027,1,1,2,1,1
,59,0.003,0.7,,31,,,,2024-04-23 08:00,0.024,2,0.012,1,1,2,1,1
,61,0.003,0.7,,38,,,,2024-04-23 07:00,0.022,2,0.004,1,1,2,1,1
,59,0.003,0.7,,37,,,,2024-04-23 06:00,0.019,2,0.005,1,1,2,1,1
,56,0.003,0.7,,37,,,,2024-04-23 05:00,0.016,2,0.006,1,1,2,1,1
,54,0.003,0.7,,31,,,,2024-04-23 04:00,0.012,1,0.012,1,1,2,1,1
,51,0.002,0.7,,34,,,,2024-04-23 03:00,0.014,1,0.014,1,1,2,1,1
,51,0.002,0.8,,27,,,,2024-04-23 02:00,0.015,1,0.018,1,1,2,1,1
,51,0.002,0.7,,32,,,,2024-04-23 01:00,0.010,2,0.029,1,1,2,1,1
,54,0.003,0.8,,33,,,,2024-04-22 24:00,0.008,2,0.029,1,1,2,1,1
,54,0.003,0.9,,32,,,,2024-04-22 23:00,0.007,2,0.031,1,2,2,1,1
,54,0.003,0.9,,36,,,,2024-04-22 22:00,0.011,2,0.029,1,1,2,1,1
,55,0.005,1.0,,35,,,,2024-04-22 21:00,0.012,1,0.036,1,2,2,1,1
,63,0.005,1.1,,36,,,,2024-04-22 20:00,0.012,1,0.046,1,2,2,1,1
,68,0.004,1.1,,29,,,,2024-04-22 19:00,0.010,1,0.052,1,2,2,1,1
,63,0.003,0.9,,19,,,,2024-04-22 18:00,0.011,1,0.045,1,2,2,1,1
,63,0.002,0.8,,13,,,,2024-04-22 17:00,0.006,1,0.046,1,2,2,1,1
,65,0.002,0.8,,21,,,,2024-04-22 16:00,0.005,1,0.048,1,2,2,1,1
,57,0.002,0.8,,20,,,,2024-04-22 15:00,0.011,1,0.038,1,2,2,1,1
,53,0.002,0.8,,30,,,,2024-04-22 14:00,0.015,1,0.033,1,2,2,1,1
,50,0.002,0.8,,29,,,,2024-04-22 13:00,0.016,1,0.030,1,1,1,1,1
