so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,73,0.002,0.3,52,2,2,1,2024-04-23 11:00,1,0.028,2,0.035
1,69,0.002,0.3,72,2,2,1,2024-04-23 10:00,1,0.030,2,0.031
1,66,0.002,0.3,77,1,2,2,2024-04-23 09:00,1,0.039,2,0.022
1,66,0.002,0.3,67,1,2,2,2024-04-23 08:00,1,0.033,2,0.023
1,66,0.001,0.2,23,1,2,1,2024-04-23 07:00,1,0.026,2,0.023
1,69,0.002,0.3,23,1,2,2,2024-04-23 06:00,1,0.032,2,0.014
1,69,0.002,0.3,23,1,2,1,2024-04-23 05:00,1,0.029,2,0.017
1,72,0.001,0.2,32,1,2,1,2024-04-23 04:00,1,0.021,2,0.023
1,77,0.001,0.2,24,2,2,1,2024-04-23 03:00,1,0.011,2,0.034
1,85,0.001,0.2,25,2,2,1,2024-04-23 02:00,1,0.008,2,0.039
1,92,0.002,0.3,38,1,2,1,2024-04-23 01:00,1,0.025,2,0.026
1,95,0.002,0.3,61,2,2,1,2024-04-22 24:00,1,0.020,2,0.038
1,92,0.002,0.3,57,2,2,1,2024-04-22 23:00,1,0.028,2,0.032
1,87,0.002,0.3,66,1,2,1,2024-04-22 22:00,1,0.029,2,0.030
1,82,0.003,0.3,52,2,2,1,2024-04-22 21:00,1,0.019,2,0.046
1,79,0.002,0.3,60,2,2,1,2024-04-22 20:00,1,0.027,2,0.050
1,79,0.001,0.3,70,2,2,1,2024-04-22 19:00,1,0.021,2,0.065
1,74,0.001,0.3,53,2,2,2,2024-04-22 18:00,1,0.034,2,0.050
1,74,0.002,0.3,40,2,2,2,2024-04-22 17:00,1,0.038,2,0.048
1,83,0.002,0.3,40,2,2,1,2024-04-22 16:00,1,0.015,2,0.069
1,83,0.002,0.3,36,2,2,1,2024-04-22 15:00,1,0.011,2,0.069
1,78,0.001,0.3,40,2,2,1,2024-04-22 14:00,1,0.008,2,0.063
