so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,74,0.003,0.2,39,2,2,1,2024-04-23 11:00,1,0.008,2,0.059
1,68,0.003,0.3,40,2,2,1,2024-04-23 10:00,1,0.009,2,0.051
1,54,0.004,0.3,34,1,2,1,2024-04-23 09:00,1,0.015,2,0.024
1,55,0.003,0.3,29,1,2,1,2024-04-23 08:00,1,0.010,2,0.009
1,57,0.003,0.3,31,1,2,1,2024-04-23 07:00,1,0.008,2,0.010
1,58,0.003,0.3,31,1,2,1,2024-04-23 06:00,1,0.007,2,0.011
1,60,0.003,0.3,35,1,2,1,2024-04-23 05:00,1,0.007,2,0.012
1,60,0.003,0.3,37,1,2,1,2024-04-23 04:00,1,0.006,2,0.012
1,61,0.003,0.3,40,1,2,1,2024-04-23 03:00,1,0.006,2,0.013
1,62,0.003,0.3,41,1,2,1,2024-04-23 02:00,1,0.012,2,0.016
1,63,0.003,0.3,36,1,2,1,2024-04-23 01:00,1,0.017,2,0.016
1,65,0.003,0.3,40,1,2,1,2024-04-22 24:00,1,0.009,2,0.025
1,66,0.003,0.3,46,1,2,1,2024-04-22 23:00,1,0.009,2,0.026
1,66,0.003,0.3,43,1,2,1,2024-04-22 22:00,1,0.010,2,0.025
1,66,0.003,0.3,48,2,2,1,2024-04-22 21:00,1,0.007,2,0.034
1,67,0.003,0.2,46,2,2,1,2024-04-22 20:00,1,0.007,2,0.039
1,68,0.003,0.2,43,2,2,1,2024-04-22 19:00,1,0.006,2,0.047
1,69,0.003,0.2,41,2,2,1,2024-04-22 18:00,1,0.005,2,0.053
1,69,0.003,0.2,48,2,2,1,2024-04-22 17:00,1,0.005,2,0.051
1,69,0.003,0.2,52,2,2,1,2024-04-22 16:00,1,0.006,2,0.049
1,69,0.003,0.2,43,2,2,1,2024-04-22 15:00,1,0.005,2,0.050
1,71,0.003,0.2,45,2,2,1,2024-04-22 14:00,1,0.005,2,0.052
1,73,0.003,0.2,45,2,2,1,2024-04-22 13:00,1,0.007,2,0.051
