so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,63,0.003,0.1,44,2,2,1,2024-04-23 11:00,1,0.014,2,0.037
1,62,0.004,0.2,42,2,2,1,2024-04-23 10:00,1,0.022,2,0.032
1,61,0.005,0.2,48,2,2,1,2024-04-23 09:00,1,0.020,2,0.035
1,64,0.004,0.3,40,2,2,1,2024-04-23 08:00,1,0.013,2,0.041
1,66,0.003,0.3,29,2,2,1,2024-04-23 07:00,1,0.018,2,0.043
1,66,0.004,0.4,36,2,2,1,2024-04-23 06:00,1,0.024,2,0.046
1,66,0.003,0.4,39,2,2,1,2024-04-23 05:00,1,0.020,2,0.046
1,69,0.003,0.2,37,2,2,1,2024-04-23 04:00,1,0.010,2,0.053
1,69,0.004,0.5,49,2,2,2,2024-04-23 03:00,1,0.034,2,0.033
1,69,0.004,0.4,47,2,2,1,2024-04-23 02:00,1,0.030,2,0.035
1,75,0.003,0.4,56,1,2,2,2024-04-23 01:00,1,0.045,2,0.026
1,66,0.003,0.5,52,2,2,2,2024-04-22 24:00,1,0.035,2,0.032
1,64,0.003,0.3,52,2,2,1,2024-04-22 23:00,1,0.030,2,0.034
1,62,0.003,0.2,48,2,2,1,2024-04-22 22:00,1,0.023,2,0.038
1,61,0.002,0.2,37,2,2,1,2024-04-22 21:00,1,0.017,2,0.042
1,62,0.002,0.2,41,2,2,1,2024-04-22 20:00,1,0.016,2,0.044
1,64,0.003,0.1,33,2,2,1,2024-04-22 19:00,1,0.007,2,0.047
1,67,0.003,0.1,41,2,2,1,2024-04-22 18:00,1,0.014,2,0.043
1,68,0.003,0.1,47,2,2,1,2024-04-22 17:00,1,0.016,2,0.037
1,66,0.003,0.1,45,2,2,1,2024-04-22 16:00,1,0.012,2,0.039
1,65,0.003,0.2,59,1,2,1,2024-04-22 15:00,1,0.027,2,0.030
1,62,0.003,0.1,51,2,2,1,2024-04-22 14:00,1,0.018,2,0.035
1,61,0.002,0.1,35,2,2,1,2024-04-22 13:00,1,0.007,2,0.042
