so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value,coFlag,no2Flag,o3Flag,so2Flag,pm10Flag
1,80,0.002,0.2,47,2,2,1,2024-04-23 11:00,1,0.004,2,0.066,,,,,
1,78,0.002,0.2,46,2,2,1,2024-04-23 10:00,1,0.004,2,0.064,,,,,
1,77,0.002,0.2,31,2,2,1,2024-04-23 09:00,1,0.004,2,0.062,,,,,
1,75,0.002,0.2,38,2,2,1,2024-04-23 08:00,1,0.004,2,0.060,,,,,
1,73,0.002,0.2,36,2,2,1,2024-04-23 07:00,1,0.004,2,0.058,,,,,
1,73,0.002,0.2,40,2,2,1,2024-04-23 06:00,1,0.003,2,0.057,,,,,
1,71,0.002,0.2,33,2,2,1,2024-04-23 05:00,1,0.004,2,0.055,,,,,
1,71,0.002,0.2,37,2,2,1,2024-04-23 04:00,1,0.003,2,0.055,,,,,
1,70,0.002,0.2,45,2,2,1,2024-04-23 03:00,1,0.003,2,0.054,,,,,
1,68,0.002,0.2,42,2,2,1,2024-04-23 02:00,1,0.004,2,0.051,,,,,
1,67,0.002,0.2,48,2,2,1,2024-04-23 01:00,1,0.004,2,0.050,,,,,
1,68,0.002,0.2,38,2,2,1,2024-04-22 24:00,1,0.004,2,0.052,,,,,
1,66,0.002,0.2,58,2,2,1,2024-04-22 23:00,1,0.004,2,0.049,,,,,
1,65,0.002,0.2,41,2,2,1,2024-04-22 22:00,1,0.004,2,0.048,,,,,
1,65,0.002,0.2,45,2,2,1,2024-04-22 21:00,1,0.004,2,0.048,,,,,
1,64,0.002,0.2,44,2,2,1,2024-04-22 20:00,1,0.004,2,0.047,,,,,
1,65,0.002,0.2,37,2,2,1,2024-04-22 19:00,1,0.004,2,0.048,,,,,
1,-,0.002,0.2,41,2,,1,2024-04-22 18:00,1,0.005,,0.048,,,,,
,-,-,-,35,,,,2024-04-22 17:00,,-,,-,통신장애,통신장애,통신장애,통신장애,
,-,-,-,-,,,,2024-04-22 16:00,,-,,-,통신장애,통신장애,통신장애,통신장애,통신장애
,-,-,-,-,,,,2024-04-22 15:00,,-,,-,통신장애,통신장애,통신장애,통신장애,통신장애
,-,-,-,-,,,,2024-04-22 14:00,,-,1,-,통신장애,통신장애,통신장애,통신장애,통신장애
1,69,0.002,0.2,28,2,2,1,2024-04-22 13:00,1,0.004,1,0.053,,,,,
