so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value,so2Flag
1,64,0.003,0.3,59,2,2,1,2024-04-23 11:00,1,0.008,2,0.047,
1,63,0.002,0.3,37,2,2,1,2024-04-23 10:00,1,0.009,2,0.045,
1,63,0.002,0.3,35,2,2,1,2024-04-23 09:00,1,0.009,1,0.046,
1,65,0.001,0.3,31,2,2,1,2024-04-23 08:00,1,0.008,1,0.048,
,67,-,0.3,29,2,2,1,2024-04-23 07:00,1,0.008,1,0.050,통신장애
,69,-,0.3,22,2,2,1,2024-04-23 06:00,1,0.006,1,0.053,통신장애
,71,-,0.2,27,2,2,1,2024-04-23 05:00,1,0.004,1,0.055,통신장애
,71,-,0.2,28,2,2,1,2024-04-23 04:00,1,0.003,1,0.055,통신장애
,73,-,0.2,27,2,2,1,2024-04-23 03:00,1,0.003,2,0.057,통신장애
,68,-,0.3,35,2,2,1,2024-04-23 02:00,1,0.003,2,0.052,통신장애
,65,-,0.3,28,2,2,1,2024-04-23 01:00,1,0.004,1,0.048,통신장애
,66,-,0.3,30,2,2,1,2024-04-22 24:00,1,0.004,1,0.049,통신장애
1,67,0.001,0.2,35,2,2,1,2024-04-22 23:00,1,0.004,2,0.050,
1,65,0.001,0.2,23,2,2,1,2024-04-22 22:00,1,0.004,2,0.048,
1,64,0.001,0.2,30,2,2,1,2024-04-22 21:00,1,0.005,2,0.047,
1,60,0.001,0.3,37,2,2,1,2024-04-22 20:00,1,0.006,2,0.042,
1,56,0.001,0.3,32,2,2,1,2024-04-22 19:00,1,0.009,2,0.037,
1,57,0.001,0.2,33,2,2,1,2024-04-22 18:00,1,0.008,1,0.038,
1,59,0.001,0.2,39,2,2,1,2024-04-22 17:00,1,0.007,1,0.041,
1,58,0.002,0.2,28,2,2,1,2024-04-22 16:00,1,0.007,1,0.040,
1,53,0.001,0.2,28,2,2,1,2024-04-22 15:00,1,0.009,1,0.033,
1,54,0.001,0.2,27,2,2,1,2024-04-22 14:00,1,0.008,1,0.035,
