so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,68,0.003,0.4,38,2,2,1,2024-04-23 12:00,1,0.012,2,0.051
1,63,0.003,0.4,34,2,2,1,2024-04-23 11:00,1,0.015,1,0.046
1,61,0.003,0.4,41,2,2,1,2024-04-23 10:00,1,0.017,1,0.043
1,58,0.003,0.4,35,2,2,1,2024-04-23 09:00,1,0.021,1,0.039
1,54,0.003,0.4,30,2,2,1,2024-04-23 08:00,1,0.026,1,0.035
1,57,0.003,0.4,23,2,2,1,2024-04-23 07:00,1,0.025,1,0.038
1,63,0.002,0.4,17,2,2,1,2024-04-23 06:00,1,0.015,1,0.045
1,67,0.002,0.3,16,2,2,1,2024-04-23 05:00,1,0.008,1,0.050
1,66,0.002,0.3,21,2,2,1,2024-04-23 04:00,1,0.010,1,0.049
1,69,0.003,0.3,13,2,2,1,2024-04-23 03:00,1,0.006,1,0.053
1,68,0.003,0.3,17,2,2,1,2024-04-23 02:00,1,0.006,1,0.051
1,64,0.003,0.4,24,2,2,1,2024-04-23 01:00,1,0.010,2,0.047
1,63,0.003,0.4,32,2,2,1,2024-04-22 24:00,1,0.013,2,0.045
1,59,0.003,0.4,29,2,2,1,2024-04-22 23:00,1,0.016,2,0.041
1,58,0.003,0.4,27,2,2,1,2024-04-22 22:00,1,0.019,2,0.040
1,58,0.003,0.4,35,2,2,1,2024-04-22 21:00,1,0.021,2,0.039
1,58,0.003,0.5,37,2,2,1,2024-04-22 20:00,1,0.025,2,0.040
1,62,0.003,0.4,41,2,2,1,2024-04-22 19:00,1,0.024,2,0.044
1,66,0.003,0.5,36,2,2,1,2024-04-22 18:00,1,0.020,2,0.049
1,70,0.003,0.4,34,2,2,1,2024-04-22 17:00,1,0.014,2,0.054
1,71,0.003,0.4,31,2,2,1,2024-04-22 16:00,1,0.015,2,0.055
1,70,0.003,0.4,37,2,2,1,2024-04-22 15:00,1,0.015,2,0.054
1,66,0.003,0.4,37,2,2,1,2024-04-22 14:00,1,0.017,2,0.049
