so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,70,0.003,0.3,27,2,2,1,2024-04-23 11:00,1,0.010,1,0.054
1,65,0.003,0.3,30,2,2,1,2024-04-23 10:00,1,0.011,1,0.048
1,51,0.004,0.4,32,2,2,1,2024-04-23 09:00,1,0.016,1,0.031
1,48,0.003,0.3,30,1,1,1,2024-04-23 08:00,1,0.015,1,0.029
1,47,0.003,0.3,31,1,1,1,2024-04-23 07:00,1,0.022,1,0.020
1,54,0.003,0.3,22,2,2,1,2024-04-23 06:00,1,0.007,1,0.035
1,54,0.003,0.2,27,2,2,1,2024-04-23 05:00,1,0.006,1,0.035
1,53,0.003,0.2,25,2,2,1,2024-04-23 04:00,1,0.007,1,0.034
1,63,0.003,0.2,27,2,2,1,2024-04-23 03:00,1,0.005,1,0.045
1,54,0.003,0.3,23,2,2,1,2024-04-23 02:00,1,0.004,1,0.035
1,52,0.003,0.3,28,2,2,1,2024-04-23 01:00,1,0.009,2,0.031
1,56,0.003,0.3,25,2,2,1,2024-04-22 24:00,1,0.006,2,0.037
1,58,0.003,0.3,32,2,2,1,2024-04-22 23:00,1,0.011,2,0.034
1,60,0.003,0.3,35,2,2,1,2024-04-22 22:00,1,0.008,2,0.042
1,85,0.003,0.3,49,2,2,1,2024-04-22 21:00,1,0.010,2,0.072
1,85,0.003,0.3,43,2,2,1,2024-04-22 20:00,1,0.009,2,0.072
1,73,0.003,0.3,33,2,2,1,2024-04-22 19:00,1,0.015,2,0.058
1,78,0.003,0.3,34,2,2,1,2024-04-22 18:00,1,0.011,2,0.063
1,79,0.003,0.3,31,2,2,1,2024-04-22 17:00,1,0.010,2,0.065
1,81,0.003,0.3,30,2,2,1,2024-04-22 16:00,1,0.009,2,0.067
1,80,0.003,0.3,34,2,2,1,2024-04-22 15:00,1,0.007,2,0.066
1,78,0.003,0.3,36,2,2,1,2024-04-22 14:00,1,0.006,2,0.064
1,73,0.003,0.3,41,2,2,1,2024-04-22 13:00,1,0.010,2,0.057
