so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,73,0.003,0.3,29,2,2,1,2024-04-23 11:00,1,0.010,1,0.058
1,68,0.003,0.3,29,2,2,1,2024-04-23 10:00,1,0.012,1,0.051
1,59,0.003,0.3,29,2,2,1,2024-04-23 09:00,1,0.016,1,0.041
1,59,0.003,0.3,24,2,2,1,2024-04-23 08:00,1,0.016,1,0.033
1,56,0.003,0.3,24,2,2,1,2024-04-23 07:00,1,0.012,1,0.035
1,59,0.003,0.3,22,2,2,1,2024-04-23 06:00,1,0.009,1,0.037
1,59,0.003,0.3,21,2,2,1,2024-04-23 05:00,1,0.008,1,0.035
1,61,0.003,0.3,22,2,2,1,2024-04-23 04:00,1,0.007,1,0.035
1,61,0.003,0.3,41,2,2,1,2024-04-23 03:00,1,0.007,1,0.035
1,59,0.003,0.3,19,2,2,1,2024-04-23 02:00,1,0.007,1,0.035
1,61,0.003,0.3,18,2,2,1,2024-04-23 01:00,1,0.006,1,0.038
1,64,0.003,0.3,20,2,2,1,2024-04-22 24:00,1,0.006,2,0.040
1,66,0.003,0.3,24,2,2,1,2024-04-22 23:00,1,0.007,2,0.041
1,66,0.003,0.3,32,2,2,1,2024-04-22 22:00,1,0.008,2,0.043
1,80,0.003,0.3,50,2,2,1,2024-04-22 21:00,1,0.015,2,0.066
1,83,0.003,0.3,45,2,2,1,2024-04-22 20:00,1,0.016,2,0.069
1,80,0.003,0.3,27,2,2,1,2024-04-22 19:00,1,0.010,2,0.066
1,83,0.003,0.3,30,2,2,1,2024-04-22 18:00,1,0.008,2,0.070
1,84,0.003,0.3,30,2,2,1,2024-04-22 17:00,1,0.008,2,0.071
1,84,0.003,0.3,28,2,2,1,2024-04-22 16:00,1,0.007,2,0.071
1,83,0.003,0.3,35,2,2,1,2024-04-22 15:00,1,0.007,2,0.070
1,80,0.003,0.3,32,2,2,1,2024-04-22 14:00,1,0.008,2,0.066
1,76,0.003,0.3,37,2,2,1,2024-04-22 13:00,1,0.009,2,0.061
