so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,63,0.004,0.2,31,2,2,1,2024-04-23 11:00,1,0.005,1,0.045
1,57,0.004,0.2,27,2,2,1,2024-04-23 10:00,1,0.005,1,0.038
1,50,0.004,0.2,28,1,1,1,2024-04-23 09:00,1,0.006,1,0.025
1,50,0.004,0.2,24,1,1,1,2024-04-23 08:00,1,0.006,1,0.022
1,51,0.004,0.2,28,1,2,1,2024-04-23 07:00,1,0.008,1,0.012
1,50,0.004,0.3,32,1,1,1,2024-04-23 06:00,1,0.005,1,0.014
1,50,0.004,0.3,36,1,1,1,2024-04-23 05:00,1,0.004,1,0.015
1,47,0.004,0.3,37,1,1,1,2024-04-23 04:00,1,0.004,1,0.009
1,43,0.004,0.3,25,1,1,1,2024-04-23 03:00,1,0.003,1,0.016
1,40,0.004,0.3,26,1,1,1,2024-04-23 02:00,1,0.004,1,0.018
1,37,0.004,0.3,23,1,1,1,2024-04-23 01:00,1,0.004,1,0.016
1,33,0.004,0.3,26,1,1,1,2024-04-22 24:00,1,0.005,1,0.014
1,33,0.004,0.3,20,1,1,1,2024-04-22 23:00,1,0.004,1,0.014
1,33,0.004,0.3,19,1,1,1,2024-04-22 22:00,1,0.004,1,0.020
1,40,0.004,0.3,15,1,1,1,2024-04-22 21:00,1,0.005,1,0.024
1,50,0.004,0.3,15,1,1,1,2024-04-22 20:00,1,0.004,1,0.030
1,52,0.004,0.3,13,2,2,1,2024-04-22 19:00,1,0.004,1,0.032
1,50,0.004,0.3,18,1,1,1,2024-04-22 18:00,1,0.003,1,0.030
1,50,0.004,0.3,15,1,1,1,2024-04-22 17:00,1,0.003,1,0.030
1,45,0.004,0.3,9,1,1,1,2024-04-22 16:00,1,0.005,1,0.027
1,45,0.004,0.3,16,1,1,1,2024-04-22 15:00,1,0.003,1,0.027
1,50,0.004,0.3,14,1,1,1,2024-04-22 14:00,1,0.003,1,0.030
1,51,0.004,0.3,16,2,2,1,2024-04-22 13:00,1,0.003,1,0.031
