so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,73,0.003,0.3,32,2,2,1,2024-04-23 11:00,1,0.007,1,0.057
1,70,0.003,0.3,36,2,2,1,2024-04-23 10:00,1,0.008,1,0.054
1,63,0.002,0.3,23,2,2,1,2024-04-23 09:00,1,0.009,1,0.045
1,47,0.002,0.3,20,1,1,1,2024-04-23 08:00,1,0.008,1,0.012
1,50,0.002,0.3,14,1,1,1,2024-04-23 07:00,1,0.007,1,0.009
1,51,0.002,0.3,16,1,2,1,2024-04-23 06:00,1,0.006,1,0.010
1,51,0.003,0.3,19,1,2,1,2024-04-23 05:00,1,0.005,1,0.012
1,51,0.002,0.3,22,1,2,1,2024-04-23 04:00,1,0.004,1,0.013
1,54,0.002,0.3,23,1,2,1,2024-04-23 03:00,1,0.004,1,0.015
1,56,0.003,0.3,26,1,2,1,2024-04-23 02:00,1,0.005,1,0.017
1,56,0.002,0.3,25,1,2,1,2024-04-23 01:00,1,0.006,2,0.021
1,56,0.003,0.3,28,1,2,1,2024-04-22 24:00,1,0.009,2,0.017
1,59,0.002,0.3,30,1,2,1,2024-04-22 23:00,1,0.011,2,0.014
1,59,0.003,0.3,30,1,2,1,2024-04-22 22:00,1,0.013,2,0.013
1,59,0.002,0.3,32,1,2,1,2024-04-22 21:00,1,0.013,2,0.016
1,61,0.002,0.3,41,1,2,1,2024-04-22 20:00,1,0.014,2,0.021
1,61,0.002,0.3,32,2,2,1,2024-04-22 19:00,1,0.012,2,0.032
1,61,0.002,0.3,34,2,2,1,2024-04-22 18:00,1,0.007,2,0.043
1,64,0.003,0.3,36,2,2,1,2024-04-22 17:00,1,0.007,2,0.045
1,66,0.003,0.3,38,2,2,1,2024-04-22 16:00,1,0.009,2,0.041
1,66,0.002,0.3,41,2,2,1,2024-04-22 15:00,1,0.009,2,0.040
1,69,0.002,0.3,42,2,2,1,2024-04-22 14:00,1,0.009,2,0.042
1,-,0.002,0.3,42,2,,1,2024-04-22 13:00,1,0.008,,0.041
