so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,76,0.002,0.2,21,2,2,1,2024-04-23 11:00,1,0.007,1,0.061
1,73,0.002,0.2,21,2,2,1,2024-04-23 10:00,1,0.009,1,0.057
1,63,0.002,0.3,23,2,2,1,2024-04-23 09:00,1,0.018,1,0.045
1,61,0.002,0.3,16,2,2,1,2024-04-23 08:00,1,0.017,1,0.043
1,61,0.002,0.3,17,2,2,1,2024-04-23 07:00,1,0.016,1,0.043
1,69,0.002,0.2,14,2,2,1,2024-04-23 06:00,1,0.009,1,0.053
1,68,0.001,0.2,19,2,2,1,2024-04-23 05:00,1,0.010,1,0.052
1,71,0.001,0.2,19,2,2,1,2024-04-23 04:00,1,0.008,1,0.055
1,68,0.002,0.2,22,2,2,1,2024-04-23 03:00,1,0.008,1,0.052
1,73,0.002,0.2,22,2,2,1,2024-04-23 02:00,1,0.006,1,0.057
1,70,0.001,0.2,19,2,2,1,2024-04-23 01:00,1,0.006,1,0.054
1,68,0.002,0.2,19,2,2,1,2024-04-22 24:00,1,0.008,1,0.052
1,68,0.002,0.2,28,2,2,1,2024-04-22 23:00,1,0.009,2,0.051
1,63,0.002,0.3,37,2,2,1,2024-04-22 22:00,1,0.019,2,0.046
1,72,0.002,0.3,38,2,2,1,2024-04-22 21:00,1,0.021,1,0.056
1,71,0.002,0.3,29,2,2,1,2024-04-22 20:00,1,0.014,1,0.055
1,79,0.002,0.2,27,2,2,1,2024-04-22 19:00,1,0.009,1,0.065
1,83,0.002,0.2,27,2,2,1,2024-04-22 18:00,1,0.006,1,0.069
1,83,0.002,0.2,29,2,2,1,2024-04-22 17:00,1,0.006,1,0.070
1,83,0.002,0.2,32,2,2,1,2024-04-22 16:00,1,0.005,1,0.070
1,82,0.002,0.2,29,2,2,1,2024-04-22 15:00,1,0.005,1,0.068
1,79,0.002,0.2,30,2,2,1,2024-04-22 14:00,1,0.006,2,0.065
