so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,65,0.002,0.2,25,2,2,1,2024-04-23 10:00,1,0.004,1,0.048
1,63,0.002,0.2,20,2,2,1,2024-04-23 09:00,1,0.006,1,0.046
1,58,0.002,0.2,16,2,2,1,2024-04-23 08:00,1,0.011,1,0.040
1,54,0.002,0.2,20,2,2,1,2024-04-23 07:00,1,0.018,1,0.035
1,61,0.002,0.2,16,2,2,1,2024-04-23 06:00,1,0.007,1,0.043
1,63,0.002,0.2,15,2,2,1,2024-04-23 05:00,1,0.002,1,0.046
1,63,0.002,0.2,17,2,2,1,2024-04-23 04:00,1,0.002,1,0.045
1,63,0.002,0.2,13,2,2,1,2024-04-23 03:00,1,0.002,1,0.046
1,60,0.002,0.2,25,2,2,1,2024-04-23 02:00,1,0.003,2,0.042
1,61,0.002,0.2,32,2,2,1,2024-04-23 01:00,1,0.005,2,0.040
1,59,0.003,0.3,45,2,2,1,2024-04-22 24:00,1,0.011,2,0.038
1,56,0.003,0.3,49,2,2,1,2024-04-22 23:00,1,0.022,2,0.037
1,54,0.002,0.3,43,2,2,1,2024-04-22 22:00,1,0.011,1,0.035
1,58,0.002,0.2,25,2,2,1,2024-04-22 21:00,1,0.006,1,0.040
1,59,0.002,0.2,22,2,2,1,2024-04-22 20:00,1,0.005,1,0.041
1,63,0.002,0.2,23,2,2,1,2024-04-22 19:00,1,0.004,1,0.046
1,66,0.002,0.2,23,2,2,1,2024-04-22 18:00,1,0.005,1,0.049
1,68,0.002,0.2,27,2,2,1,2024-04-22 17:00,1,0.004,1,0.051
1,68,0.002,0.2,23,2,2,1,2024-04-22 16:00,1,0.005,1,0.052
1,68,0.002,0.2,27,2,2,1,2024-04-22 15:00,1,0.005,1,0.052
1,68,0.002,0.2,29,2,2,1,2024-04-22 14:00,1,0.005,2,0.051
1,66,0.002,0.2,31,2,2,1,2024-04-22 13:00,1,0.006,2,0.049
1,63,0.002,0.2,32,2,2,1,2024-04-22 12:00,1,0.006,2,0.045
