coFlag,khaiValue,so2Value,coValue,pm10Flag,pm10Value,no2Flag,o3Flag,so2Flag,dataTime,no2Value,o3Value,pm10Grade,so2Grade,o3Grade,khaiGrade,no2Grade,coGrade
통신장애,-,-,-,통신장애,-,통신장애,통신장애,통신장애,2024-04-23 12:00,-,-,,,,,,
통신장애,-,-,-,통신장애,-,통신장애,통신장애,통신장애,2024-04-23 11:00,-,-,1,,,,,
,71,0.002,0.4,,15,,,,2024-04-23 10:00,0.007,0.055,1,1,2,2,1,1
,66,0.002,0.5,,14,,,,2024-04-23 09:00,0.009,0.049,1,1,2,2,1,1
,63,0.002,0.5,,14,,,,2024-04-23 08:00,0.009,0.045,1,1,2,2,1,1
,63,0.001,0.5,,14,,,,2024-04-23 07:00,0.008,0.046,1,1,2,2,1,1
,65,0.001,0.5,,15,,,,2024-04-23 06:00,0.006,0.048,1,1,2,2,1,1
,66,0.002,0.4,,12,,,,2024-04-23 05:00,0.005,0.049,1,1,2,2,1,1
,66,0.001,0.4,,12,,,,2024-04-23 04:00,0.005,0.049,1,1,2,2,1,1
,67,0.002,0.4,,15,,,,2024-04-23 03:00,0.005,0.050,1,1,2,2,1,1
,68,0.002,0.4,,9,,,,2024-04-23 02:00,0.005,0.051,1,1,2,2,1,1
,68,0.002,0.4,,15,,,,2024-04-23 01:00,0.005,0.052,1,1,2,2,1,1
,68,0.002,0.4,,13,,,,2024-04-22 24:00,0.006,0.051,1,1,2,2,1,1
,64,0.002,0.4,,19,,,,2024-04-22 23:00,0.006,0.047,1,1,2,2,1,1
,64,0.002,0.3,,16,,,,2024-04-22 22:00,0.006,0.047,1,1,2,2,1,1
,66,0.002,0.3,,15,,,,2024-04-22 21:00,0.006,0.049,1,1,2,2,1,1
,71,0.001,0.3,,17,,,,2024-04-22 20:00,0.005,0.055,1,1,2,2,1,1
,72,0.002,0.3,,19,,,,2024-04-22 19:00,0.006,0.056,1,1,2,2,1,1
,76,0.002,0.4,,21,,,,2024-04-22 18:00,0.005,0.061,1,1,2,2,1,1
,78,0.002,0.4,,21,,,,2024-04-22 17:00,0.005,0.063,1,1,2,2,1,1
,78,0.002,0.4,,18,,,,2024-04-22 16:00,0.005,0.064,1,1,2,2,1,1
,78,0.002,0.4,,24,,,,2024-04-22 15:00,0.005,0.063,1,1,2,2,1,1
,74,0.002,0.4,,22,,,,2024-04-22 14:00,0.005,0.059,1,1,2,2,1,1
