so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,72,0.002,0.2,40,2,2,1,2024-04-23 12:00,1,0.005,2,0.051
1,72,0.002,0.2,36,2,2,1,2024-04-23 11:00,1,0.005,2,0.051
1,72,0.002,0.2,26,2,2,1,2024-04-23 10:00,1,0.008,2,0.048
1,72,0.002,0.2,34,2,2,1,2024-04-23 09:00,1,0.005,2,0.045
1,69,0.002,0.2,39,2,2,1,2024-04-23 08:00,1,0.009,1,0.040
1,72,0.002,0.2,33,2,2,1,2024-04-23 07:00,1,0.006,1,0.043
1,-,0.002,0.2,34,2,,1,2024-04-23 06:00,1,0.006,1,0.042
1,-,0.002,0.2,34,2,,1,2024-04-23 05:00,1,0.006,1,0.043
1,-,0.002,0.2,34,2,,1,2024-04-23 04:00,1,0.007,1,0.042
1,-,0.002,0.2,30,2,,1,2024-04-23 03:00,1,0.006,1,0.045
1,-,0.002,0.2,27,2,,1,2024-04-23 02:00,1,0.005,1,0.048
1,-,0.002,0.2,30,2,,1,2024-04-23 01:00,1,0.005,1,0.050
1,-,0.002,0.2,5,2,,1,2024-04-22 24:00,1,0.007,1,0.045
1,-,0.002,0.3,11,2,,1,2024-04-22 23:00,1,0.007,1,0.045
1,-,0.002,0.3,14,2,,1,2024-04-22 22:00,1,0.007,1,0.047
1,-,0.002,0.3,14,2,,1,2024-04-22 21:00,1,0.007,1,0.048
1,-,0.002,0.3,9,2,,1,2024-04-22 20:00,1,0.004,1,0.051
1,-,0.002,0.3,11,2,,1,2024-04-22 19:00,1,0.004,1,0.052
1,-,0.002,0.3,12,2,,1,2024-04-22 18:00,1,0.004,1,0.053
1,-,0.002,0.3,10,2,,1,2024-04-22 17:00,1,0.004,1,0.053
1,-,0.002,0.3,17,2,,1,2024-04-22 16:00,1,0.003,1,0.051
1,-,0.002,0.3,4,2,,1,2024-04-22 15:00,1,0.004,1,0.051
1,-,0.002,0.3,15,2,,1,2024-04-22 14:00,1,0.004,1,0.049
