so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,66,0.004,0.4,30,2,2,1,2024-04-23 11:00,1,0.004,1,0.049
1,58,0.004,0.4,30,2,2,1,2024-04-23 10:00,1,0.005,1,0.040
1,37,0.004,0.4,23,1,1,1,2024-04-23 09:00,1,0.008,1,0.022
1,38,0.004,0.4,17,1,1,1,2024-04-23 08:00,1,0.009,1,0.015
1,42,0.004,0.4,18,1,1,1,2024-04-23 07:00,1,0.007,1,0.012
1,43,0.004,0.4,19,1,1,1,2024-04-23 06:00,1,0.005,1,0.013
1,43,0.004,0.4,23,1,1,1,2024-04-23 05:00,1,0.004,1,0.013
1,45,0.004,0.4,28,1,1,1,2024-04-23 04:00,1,0.004,1,0.012
1,43,0.004,0.4,26,1,1,1,2024-04-23 03:00,1,0.004,1,0.013
1,47,0.004,0.4,25,1,1,1,2024-04-23 02:00,1,0.004,1,0.013
1,50,0.004,0.4,31,1,1,1,2024-04-23 01:00,1,0.005,1,0.015
1,50,0.004,0.4,32,1,1,1,2024-04-22 24:00,1,0.005,1,0.018
1,47,0.004,0.5,31,1,1,1,2024-04-22 23:00,1,0.007,1,0.014
1,40,0.004,0.6,35,1,1,1,2024-04-22 22:00,1,0.008,1,0.015
1,37,0.004,0.6,31,1,1,1,2024-04-22 21:00,1,0.009,1,0.018
1,50,0.004,0.6,30,1,1,1,2024-04-22 20:00,1,0.008,1,0.030
1,57,0.004,0.6,18,2,2,1,2024-04-22 19:00,1,0.008,1,0.038
1,58,0.003,0.5,8,2,2,1,2024-04-22 18:00,1,0.006,1,0.040
1,61,0.003,0.4,12,2,2,1,2024-04-22 17:00,1,0.006,1,0.043
1,60,0.003,0.4,12,2,2,1,2024-04-22 16:00,1,0.005,1,0.042
1,53,0.003,0.4,8,2,2,1,2024-04-22 15:00,1,0.006,1,0.033
1,48,0.004,0.4,10,1,1,1,2024-04-22 14:00,1,0.005,1,0.029
1,43,0.003,0.4,14,1,1,1,2024-04-22 13:00,1,0.005,1,0.026
