so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,77,0.001,0.3,14,2,2,1,2024-04-23 11:00,1,0.003,1,0.062
1,63,0.002,0.3,17,2,2,1,2024-04-23 10:00,1,0.004,1,0.046
1,43,0.001,0.3,18,1,1,1,2024-04-23 09:00,1,0.006,1,0.026
1,33,0.001,0.3,17,1,1,1,2024-04-23 08:00,1,0.005,1,0.020
1,33,0.001,0.2,21,1,1,1,2024-04-23 07:00,1,0.006,1,0.015
1,33,0.001,0.2,18,1,1,1,2024-04-23 06:00,1,0.004,1,0.017
1,33,0.001,0.2,19,1,1,1,2024-04-23 05:00,1,0.004,1,0.019
1,38,0.001,0.2,15,1,1,1,2024-04-23 04:00,1,0.004,1,0.023
1,43,0.001,0.2,19,1,1,1,2024-04-23 03:00,1,0.004,1,0.026
1,47,0.001,0.2,18,1,1,1,2024-04-23 02:00,1,0.004,1,0.028
1,48,0.001,0.2,13,1,1,1,2024-04-23 01:00,1,0.004,1,0.029
1,52,0.001,0.2,17,2,2,1,2024-04-22 24:00,1,0.005,1,0.032
1,59,0.001,0.2,22,2,2,1,2024-04-22 23:00,1,0.004,1,0.041
1,70,0.002,0.2,24,2,2,1,2024-04-22 22:00,1,0.003,1,0.054
1,72,0.001,0.2,23,2,2,1,2024-04-22 21:00,1,0.003,1,0.056
1,73,0.002,0.2,33,2,2,1,2024-04-22 20:00,1,0.003,1,0.057
1,73,0.002,0.2,33,2,2,1,2024-04-22 19:00,1,0.003,1,0.057
1,75,0.002,0.3,29,2,2,1,2024-04-22 18:00,1,0.003,1,0.060
1,77,0.002,0.3,24,2,2,1,2024-04-22 17:00,1,0.003,1,0.062
1,76,0.002,0.3,31,2,2,1,2024-04-22 16:00,1,0.003,1,0.061
1,76,0.002,0.3,29,2,2,1,2024-04-22 15:00,1,0.003,1,0.061
1,76,0.002,0.3,25,2,2,1,2024-04-22 14:00,1,0.003,1,0.061
