so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,69,0.001,0.2,23,2,2,1,2024-04-23 11:00,1,0.004,1,0.053
1,70,0.001,0.2,20,2,2,1,2024-04-23 10:00,1,0.004,1,0.054
1,69,0.001,0.2,21,2,2,1,2024-04-23 09:00,1,0.004,1,0.053
1,66,0.001,0.2,15,2,2,1,2024-04-23 08:00,1,0.004,1,0.049
1,67,0.001,0.2,22,2,2,1,2024-04-23 07:00,1,0.004,1,0.050
1,65,0.001,0.2,18,2,2,1,2024-04-23 06:00,1,0.005,1,0.048
1,63,0.001,0.2,22,2,2,1,2024-04-23 05:00,1,0.005,1,0.046
1,63,0.001,0.2,12,2,2,1,2024-04-23 04:00,1,0.005,1,0.045
1,58,0.001,0.2,21,2,2,1,2024-04-23 03:00,1,0.007,1,0.040
1,58,0.001,0.2,19,2,2,1,2024-04-23 02:00,1,0.007,1,0.040
1,58,0.001,0.2,23,2,2,1,2024-04-23 01:00,1,0.007,1,0.040
1,59,0.001,0.2,23,2,2,1,2024-04-22 24:00,1,0.006,1,0.041
1,58,0.001,0.2,22,2,2,1,2024-04-22 23:00,1,0.007,1,0.040
1,53,0.001,0.2,30,2,2,1,2024-04-22 22:00,1,0.010,1,0.034
1,52,0.001,0.2,24,2,2,1,2024-04-22 21:00,1,0.009,1,0.032
1,55,0.001,0.2,24,2,2,1,2024-04-22 20:00,1,0.006,2,0.036
1,62,0.001,0.2,36,2,2,1,2024-04-22 19:00,1,0.005,2,0.044
1,62,0.001,0.2,34,2,2,1,2024-04-22 18:00,1,0.007,2,0.044
1,62,0.001,0.2,30,2,2,1,2024-04-22 17:00,1,0.006,2,0.044
1,63,0.001,0.2,32,2,2,1,2024-04-22 16:00,1,0.005,2,0.046
1,63,0.001,0.2,30,2,2,1,2024-04-22 15:00,1,0.005,2,0.046
1,63,0.001,0.2,28,2,2,1,2024-04-22 14:00,1,0.004,2,0.046
1,63,0.001,0.2,28,2,2,1,2024-04-22 13:00,1,0.004,2,0.045
