coFlag,khaiValue,so2Value,coValue,pm10Flag,pm10Value,no2Flag,o3Flag,so2Flag,dataTime,no2Value,o3Value,pm10Grade,so2Grade,o3Grade,khaiGrade,no2Grade,coGrade
통신장애,-,-,-,통신장애,-,통신장애,통신장애,통신장애,2024-04-23 11:00,-,-,,,,,,
통신장애,-,-,-,통신장애,-,통신장애,통신장애,통신장애,2024-04-23 10:00,-,-,,,,,,
통신장애,-,-,-,통신장애,-,통신장애,통신장애,통신장애,2024-04-23 09:00,-,-,1,,,,,
,63,0.002,0.3,,33,,,,2024-04-23 08:00,0.021,0.046,1,1,2,2,1,1
,68,0.002,0.3,,27,,,,2024-04-23 07:00,0.024,0.051,1,1,2,2,1,1
,53,0.002,0.3,,20,,,,2024-04-23 06:00,0.017,0.034,1,1,2,2,1,1
,66,0.002,0.2,,20,,,,2024-04-23 05:00,0.007,0.049,1,1,2,2,1,1
,59,0.002,0.2,,24,,,,2024-04-23 04:00,0.006,0.041,1,1,2,2,1,1
,63,0.002,0.3,,23,,,,2024-04-23 03:00,0.006,0.045,1,1,2,2,1,1
,65,0.002,0.3,,22,,,,2024-04-23 02:00,0.006,0.048,1,1,2,2,1,1
,63,0.002,0.3,,25,,,,2024-04-23 01:00,0.010,0.045,1,1,2,2,1,1
,65,0.002,0.3,,26,,,,2024-04-22 24:00,0.013,0.048,1,1,2,2,1,1
,62,0.002,0.4,,37,,,,2024-04-22 23:00,0.019,0.044,1,1,2,2,1,1
,68,0.002,0.3,,27,,,,2024-04-22 22:00,0.017,0.051,1,1,2,2,1,1
,69,0.002,0.3,,27,,,,2024-04-22 21:00,0.011,0.053,1,1,2,2,1,1
,71,0.002,0.3,,28,,,,2024-04-22 20:00,0.009,0.055,1,1,2,2,1,1
,70,0.002,0.3,,34,,,,2024-04-22 19:00,0.013,0.054,1,1,2,2,1,1
,62,0.002,0.3,,37,,,,2024-04-22 18:00,0.018,0.044,1,1,2,2,1,1
,68,0.002,0.3,,25,,,,2024-04-22 17:00,0.010,0.051,1,1,2,2,1,1
,64,0.002,0.3,,26,,,,2024-04-22 16:00,0.007,0.047,1,1,2,2,1,1
,68,0.002,0.3,,29,,,,2024-04-22 15:00,0.008,0.052,1,1,2,2,1,1
,58,0.002,0.3,,28,,,,2024-04-22 14:00,0.008,0.039,1,1,2,2,1,1
